Путь Время,mc Скорость Отметка Шаблон Статус Курс Крен Тангаж Vn Ve Vh Широта Долгота Высота Ax Ay Az 
-706,33270263672 67533 0 Piket 1515,84 <Интегр-Навиг> 45,6879 -0,677926 -0,269541 0,235429 -0,923985 0 55,75854333840 37,72842749272 163,90310668945 0,00538118 9,61755 -0,132519
-705,88165283203 69046 0 <_____> 1516,85 <Интегр-Навиг> 45,8255 -0,593823 -0,240343 1,19369 -1,83747 0 55,75854458107 37,72842633046 163,69024658203 -0,15195 9,05022 -0,492398
-705,43054199219 69817 0 Vokzal 1519,48 <Интегр-Навиг> 45,8635 -0,619498 -0,198728 1,42211 -2,04054 0 55,75854554028 37,72842510287 163,57403564453 -0,627217 10,4801 -0,341759
-704,97949218750 70429 1,624 <_____> 1519,68 <Интегр-Навиг> 45,897 -0,621899 -0,150387 1,92472 -2,52705 0 55,75854808744 37,72841890850 163,47293090820 1,39877 10,4975 -1,01966
-704,52838134766 70945 0 <_____> 1520,49 <Интегр-Навиг> 45,8651 -0,631899 -0,126591 2,09737 -2,66131 0 55,75855020714 37,72841656186 163,41239929199 0,310802 10,3246 -1,52778
-704,07733154297 71455 1,624 <_____> 1520,89 <Интегр-Навиг> 45,8797 -0,643894 -0,116869 2,11832 -2,69477 0 55,75855284292 37,72841053694 163,32704162598 -0,126705 9,97187 -1,07658
-703,62628173828 71921 1,62378 <_____> 1520,69 <Интегр-Навиг> 45,9175 -0,664992 -0,0982294 2,38515 -2,95483 0 55,75855542978 37,72840742826 163,28102111816 1,53672 11,2412 0,672281
-703,17517089844 72357 1,62378 <_____> 1520,49 <Интегр-Навиг> 45,955 -0,553518 -0,0854999 2,44185 -3,02346 0 55,75855805882 37,72840167433 163,20922851563 -1,72751 8,36375 -0,560993
-702,72412109375 72793 1,624 <_____> 1520,49 <Интегр-Навиг> 45,997 -0,610368 -0,0556462 2,48318 -3,0604 0 55,75856113506 37,72839782365 163,17385864258 -1,66678 7,89351 -0,604673
-702,27301025391 73213 1,62378 <_____> 1520,49 <Интегр-Навиг> 45,9889 -0,601328 -0,0230632 2,54685 -3,07098 0 55,75856379298 37,72839207080 163,10571289063 1,04768 11,6827 -0,754304
-701,82196044922 73635 1,624 <_____> 1520,29 <Интегр-Навиг> 45,9636 -0,411827 -0,0192809 2,55136 -3,12805 0 55,75856643082 37,72838634293 163,07780456543 -0,931203 8,14062 1,20416
-701,37091064453 74041 1,62378 <_____> 1519,68 <Интегр-Навиг> 45,9361 -0,246264 -0,0353323 2,633 -3,1917 0 55,75856927113 37,72838296742 163,01388549805 -0,14999 10,127 -0,791705
-700,91979980469 74462 0 <_____> 1519,68 <Интегр-Навиг> 45,861 -0,174059 -0,0657886 2,43856 -3,01783 0 55,75857191563 37,72837723115 162,94824218750 1,02197 11,0935 0,981205
