Путь Время,mc Скорость Отметка Шаблон Статус Курс Крен Тангаж Vn Ve Vh Широта Долгота Высота Ax Ay Az 
-1268,42175292969 25757 0 Piket 1493,21 <Интегр-Навиг> 45,735 -0,686484 -0,313148 -0,0312095 0,017512 0 55,75854061589 37,72849685610 163,27426147461 -0,0906223 9,95557 0,592069
-1268,87280273438 28043 0 Piket 1493,21 <Интегр-Навиг> 45,6558 -0,828425 -0,325625 0,776104 -0,744385 0 55,75854316757 37,72849275761 162,98426818848 -0,445873 8,44606 0,0879022
-1269,32397460938 29057 0 <_____> 1493,21 <Интегр-Навиг> 45,6314 -0,890852 -0,304591 1,16127 -1,15622 0 55,75854389791 37,72849174936 162,86843872070 -0,453014 8,9414 0,0732015
-1269,77502441406 29879 0 <_____> 1493,21 <Интегр-Навиг> 45,6174 -0,932981 -0,278402 1,42462 -1,39296 0 55,75854696538 37,72848698792 162,78916931152 -0,0388159 9,13942 -0,334991
-1270,22607421875 30512 0 <_____> 1493,42 <Интегр-Навиг> 45,6296 -1,05515 -0,243153 2,09064 -2,01839 0 55,75855007291 37,72848177234 162,70347595215 1,00644 10,6713 -1,89156
-1270,67712402344 30990 -1,62378 <_____> 1493,62 <Интегр-Навиг> 45,6168 -0,954134 -0,229132 2,42142 -2,35691 0 55,75855276087 37,72847711790 162,63745117188 -0,71304 9,82786 -1,9291
-1271,12817382813 31436 -1,62378 <_____> 1493,21 <Интегр-Навиг> 45,6147 -0,837067 -0,212728 2,49006 -2,40679 0 55,75855550022 37,72847238332 162,57304382324 0,66054 11,0659 -1,41388
-1271,57934570313 31841 -1,62378 Piket 1493,01 <Интегр-Навиг> 45,7116 -0,94099 -0,193892 2,98838 -2,86831 0 55,75855884192 37,72846749663 162,51515197754 1,00786 9,67093 0,932798
-1272,03039550781 32203 -1,62422 <_____> 1493,21 <Интегр-Навиг> 45,9336 -0,891462 -0,15877 3,12221 -3,00729 0 55,75856159405 37,72846282857 162,46334838867 -1,20851 9,68444 -0,606178
-1272,48144531250 32557 -1,62378 <_____> 1493,21 <Интегр-Навиг> 46,0159 -0,887279 -0,131022 3,22123 -3,07212 0 55,75856521854 37,72845716337 162,41535949707 0,617266 9,89813 -0,11193
-1272,93249511719 32902 -1,62378 <_____> 1493,21 <Интегр-Навиг> 45,9647 -0,809323 -0,107064 3,25791 -3,13518 0 55,75856801886 37,72845239010 162,36596679688 0,704747 10,0198 0,319629
-1273,38354492188 33245 -3,24756 <_____> 1493,21 <Интегр-Навиг> 45,8376 -0,58244 -0,100742 3,25668 -3,15029 0 55,75857084889 37,72844753805 162,31687927246 0,505742 9,66017 0,0115521
-1273,83471679688 33577 -1,62378 <_____> 1493,21 <Интегр-Навиг> 45,8193 -0,543113 -0,112355 3,45254 -3,34105 0 55,75857390671 37,72844249414 162,26907348633 0,194906 9,80555 -0,418914
-1274,28576660156 33894 -1,62422 <_____> 1493,21 <Интегр-Навиг> 45,674 -0,46805 -0,141414 3,62755 -3,534 0 55,75857673800 37,72843761099 162,22445678711 0,375906 10,1576 0,132007
-1274,73681640625 34201 -1,62378 <_____> 1493,01 <Интегр-Навиг> 45,5899 -0,399374 -0,192744 3,71356 -3,59811 0 55,75857953436 37,72843278208 162,18225097656 -0,0536388 9,94182 0,201139
-1275,18786621094 34502 -1,62378 <_____> 1493,01 <Интегр-Навиг> 45,5699 -0,355808 -0,235776 3,77738 -3,68047 0 55,75858249748 37,72842698949 162,13162231445 -0,137201 9,67673 -0,468163
-1275,63891601563 34797 -3,24756 <_____> 1493,21 <Интегр-Навиг> 45,4942 -0,225297 -0,26876 3,80083 -3,70718 0 55,75858528417 37,72842216474 162,09165954590 -0,506552 9,63372 0,0683477
-1276,09008789063 35091 -1,62378 <_____> 1493,21 <Интегр-Навиг> 45,5473 -0,287189 -0,286016 3,84216 -3,73961 0 55,75858808309 37,72841733131 162,05178833008 -0,138901 9,35207 -0,58074
-1276,54113769531 35381 -1,62422 <_____> 1493,21 <Интегр-Навиг> 45,6024 -0,358137 -0,275689 3,91106 -3,79204 0 55,75859091603 37,72841244661 162,01173400879 -0,447689 10,0245 -0,0465047
-1276,99218750000 35667 -1,62422 <_____> 1493,82 <Интегр-Навиг> 45,7676 -0,412253 -0,270894 3,95939 -3,81032 0 55,75859428047 37,72840693914 161,95533752441 0,369337 9,9421 1,21397
-1277,44323730469 35949 -3,24756 <_____> 1493,82 <Интегр-Навиг> 45,8138 -0,456297 -0,267787 4,00801 -3,86552 0 55,75859705518 37,72840219283 161,91661071777 -0,381822 9,64354 -0,476287
-1277,89428710938 36231 -1,62378 <_____> 1493,42 <Интегр-Навиг> 45,8152 -0,425336 -0,265882 4,06028 -3,91964 0 55,75859993712 37,72839726371 161,87672424316 -0,422956 9,65358 -0,134481
-1278,34545898438 36508 -1,62378 <_____> 1493,21 <Интегр-Навиг> 45,7805 -0,307283 -0,274389 4,03366 -3,89734 0 55,75860311919 37,72839088930 161,83782958984 0,291802 9,79424 0,61851
-1278,79650878906 36787 -3,248 Piket 1493,21 <Интегр-Навиг> 45,7613 -0,228527 -0,275211 4,10425 -3,95611 0 55,75860595960 37,72838602124 161,79866027832 0,196022 9,73376 -0,423535
-1279,24755859375 37066 -1,62378 <_____> 1493,21 <Интегр-Навиг> 45,7667 -0,242639 -0,263335 4,05678 -3,92274 0 55,75860880034 37,72838115234 161,75953674316 -0,232534 10,0624 -0,987722
-1279,69860839844 37349 -1,62378 <_____> 1493,21 <Интегр-Навиг> 45,8158 -0,463373 -0,225728 3,99031 -3,85372 0 55,75861159833 37,72837635748 161,72058105469 0,423107 9,81291 1,34402
-1280,14965820313 37631 -1,62378 <_____> 1493,21 <Интегр-Навиг> 45,8424 -0,494233 -0,210421 4,05817 -3,91734 0 55,75861520904 37,72836991146 161,68659973145 -0,086915 9,73711 0,156971
-1280,60083007813 37906 -3,24756 <_____> 1493,21 <Интегр-Навиг> 45,8131 -0,4028 -0,189146 4,17588 -4,03284 0 55,75861801896 37,72836509183 161,64857482910 0,204507 9,86138 -0,714041
-1281,05187988281 38178 -1,62422 <_____> 1493,21 <Интегр-Навиг> 45,8292 -0,217037 -0,1411 4,14567 -4,01149 0 55,75862086045 37,72836022626 161,61106872559 -0,67323 9,33951 -1,33041
-1281,50292968750 38448 -1,62422 <_____> 1493,21 <Интегр-Навиг> 45,81 -0,232754 -0,118197 4,2879 -4,13085 0 55,75862365654 37,72835542695 161,60719299316 0,504444 10,093 0,433392
-1281,95397949219 38711 -3,24756 <_____> 1493,21 <Интегр-Навиг> 45,7779 -0,271125 -0,0814195 4,35052 -4,19146 0 55,75862725317 37,72834901181 161,57154846191 0,887775 10,4255 0,677359
-1282,40502929688 38976 -1,62378 <_____> 1493,21 <Интегр-Навиг> 45,7645 -0,321162 -0,0578106 4,30495 -4,17585 0 55,75863004287 37,72834422045 161,53691101074 0,33228 10,286 0,786441
-1282,85620117188 39235 -1,62378 <_____> 1493,21 <Интегр-Навиг> 45,7559 -0,0903063 -0,0733832 4,36183 -4,25134 0 55,75863288060 37,72833934575 161,50222778320 0,22079 9,99401 -0,323387
-1283,30725097656 39497 -3,248 <_____> 1493,21 <Интегр-Навиг> 45,7425 -0,216453 -0,0470484 4,3587 -4,21867 0 55,75863628064 37,72833336470 161,48326110840 -0,514427 9,77179 -0,35797
-1283,75830078125 39761 -1,62378 <_____> 1493,01 <Интегр-Навиг> 45,7058 -0,0280348 -0,0577058 4,18946 -4,08723 0 55,75863914931 37,72832843528 161,44758605957 -0,752797 9,26442 -0,249024
-1284,20935058594 40032 -1,62378 <_____> 1492,41 <Интегр-Навиг> 45,7105 -0,226108 -0,0408034 4,2175 -4,09206 0 55,75864201025 37,72832351091 161,41104125977 -0,326981 9,63869 0,242336
-1284,66040039063 40304 -3,24756 <_____> 1492,41 <Интегр-Навиг> 45,7083 -0,105852 -0,0408291 4,1024 -3,95455 0 55,75864486137 37,72831860630 161,37429809570 0,315489 10,1878 1,22378
-1285,11157226563 40583 -1,62378 <_____> 1493,01 <Интегр-Навиг> 45,7322 -0,286427 -0,0387169 4,11993 -3,96681 0 55,75864821967 37,72831311666 161,34132385254 -0,00725291 10,0369 0,110051
-1285,56262207031 40861 -1,62378 <_____> 1493,21 <Интегр-Навиг> 45,7276 -0,272036 -0,0705953 4,11465 -3,99082 0 55,75865107974 37,72830820574 161,30368041992 -0,586692 9,17705 -0,17651
-1286,01367187500 41134 -3,248 <_____> 1493,21 <Интегр-Навиг> 45,7205 -0,232363 -0,0841907 4,1914 -4,0637 0 55,75865392125 37,72830332468 161,26678466797 0,634987 10,51 1,12852
-1286,46472167969 41408 -1,62378 <_____> 1493,21 <Интегр-Навиг> 45,6666 -0,337945 -0,0879275 4,1258 -4,03554 0 55,75865675208 37,72829844662 161,22978210449 -0,171613 9,578 -0,924014
-1286,91589355469 41679 -1,62378 <_____> 1492,41 <Интегр-Навиг> 45,642 -0,247663 -0,0924697 4,24421 -4,137 0 55,75866000696 37,72829280580 161,18762207031 -0,803669 9,62245 -0,599229
-1287,36694335938 41951 -3,248 <_____> 1491,19 <Интегр-Навиг> 45,615 -0,248746 -0,0723256 4,09294 -3,98878 0 55,75866285658 37,72828789410 161,15045166016 -0,463424 9,29063 0,0638952
-1287,81799316406 42230 -1,62378 <_____> 1491,19 <Интегр-Навиг> 45,5957 -0,00720684 -0,0599465 4,04548 -3,93858 0 55,75866565441 37,72828306979 161,11318969727 -0,349477 9,41568 -0,729959
-1288,26904296875 42521 -1,62378 Piket 1491,19 <Интегр-Навиг> 45,6566 -0,314484 -0,022112 3,89365 -3,79099 0 55,75866852700 37,72827811767 161,08132934570 -0,283014 9,75141 -1,18462
-1288,72009277344 42809 -1,62378 <_____> 1491,4 <Интегр-Навиг> 45,6571 -0,131508 -0,0064218 3,89309 -3,77743 0 55,75867189030 37,72827291328 161,04238891602 0,200776 9,60804 1,10897
-1289,17126464844 43099 -3,24756 <_____> 1492,41 <Интегр-Навиг> 45,7148 -0,438713 0,0443565 4,02937 -3,89872 0 55,75867476834 37,72826796594 161,00227355957 0,338221 9,83665 0,649896
-1289,62231445313 43382 -1,62422 <_____> 1492,81 <Интегр-Навиг> 45,7106 -0,385543 0,0680983 4,03373 -3,89789 0 55,75867758570 37,72826312202 160,96368408203 -0,18193 9,78259 -1,15802
-1290,07336425781 43662 -1,62422 <_____> 1493,01 <Интегр-Навиг> 45,7441 -0,476248 0,106002 4,0936 -3,98316 0 55,75868079831 37,72825696309 160,95060729980 -0,108404 9,56662 0,703225
-1290,52441406250 43942 -3,24756 <_____> 1493,01 <Интегр-Навиг> 45,7291 -0,426868 0,141289 4,05052 -3,92096 0 55,75868363948 37,72825207777 160,91218566895 0,496152 9,93381 0,980822
-1290,97546386719 44219 -1,62378 Piket 1493,01 <Интегр-Навиг> 45,7271 -0,377456 0,167432 4,1364 -4,00459 0 55,75868650440 37,72824715682 160,87359619141 0,402239 9,9517 -0,319622
-1291,42663574219 44499 -1,62378 <_____> 1492,61 <Интегр-Навиг> 45,6952 -0,383203 0,199246 4,09725 -3,9775 0 55,75868993202 37,72824234674 160,86364746094 0,0356261 9,46214 -0,987211
-1291,87768554688 44773 -3,248 <_____> 1491,4 <Интегр-Навиг> 45,6768 -0,186956 0,229419 4,15561 -4,00772 0 55,75869275836 37,72823748946 160,82658386230 0,698106 9,82883 1,37481
-1292,32873535156 45053 -1,62378 <_____> 1491,4 <Интегр-Навиг> 45,7045 -0,268181 0,261426 4,09005 -3,97207 0 55,75869563166 37,72823255723 160,78865051270 0,303866 9,94389 0,854529
-1292,77978515625 45336 -1,62378 <_____> 1491,4 <Интегр-Навиг> 45,6944 -0,178115 0,306496 3,93481 -3,81276 0 55,75869844986 37,72822771682 160,75088500977 -0,0547604 9,61401 0,319464
-1293,23083496094 45626 -1,62378 <_____> 1491,8 <Интегр-Навиг> 45,7385 -0,384061 0,3399 4,05063 -3,92141 0 55,75870234110 37,72822114128 160,74174499512 -0,310176 9,62312 -0,92176
-1293,68200683594 45905 -3,24756 <_____> 1491,4 <Интегр-Навиг> 45,7278 -0,307919 0,383593 4,17814 -4,025 0 55,75870521591 37,72821621320 160,70471191406 0,234347 9,84456 0,238054
