Путь Время,mc Скорость Отметка Шаблон Статус Курс Крен Тангаж Vn Ve Vh Широта Долгота Высота Ax Ay Az 
0,00000000000 199905 0 Piket 1497,66 <Интегр-Навиг> 45,9401 0,226162 -0,139705 0,308712 0,102315 0 55,75918254736 37,72741967296 170,38433837891 0,0062841 9,83217 -0,0054352
0,45107460022 323073 0 Piket 1515,64 <Интегр-Навиг> 45,9438 -0,820651 -0,328301 1,65939 -1,24127 0 55,75872526820 37,72836622954 172,32801818848 0,151034 9,48129 0,112009
0,90214920044 323870 0 Piket 1514,83 <Интегр-Навиг> 45,9053 -0,911724 -0,307389 2,5437 -2,0578 0 55,75872944405 37,72836042992 172,32801818848 -0,174665 9,92318 -0,515037
1,35322380066 324423 0 Piket 1513,82 <Интегр-Навиг> 45,8961 -0,905427 -0,273587 2,95164 -2,48139 0 55,75873324671 37,72835486206 172,32801818848 -1,47515 8,4991 1,58455
1,80429840088 324894 1,62387 Piket 1513,42 <Интегр-Навиг> 45,8718 -0,949135 -0,23808 3,323 -2,80531 0 55,75873694687 37,72834933497 172,32801818848 -0,0770995 10,5771 -2,41996
2,25537300110 325315 1,62387 Piket 1513,22 <Интегр-Навиг> 45,859 -0,92294 -0,212525 3,53297 -3,01152 0 55,75874053564 37,72834391017 172,32801818848 -0,0704373 9,35608 1,75071
2,70644760132 325704 1,62387 Piket 1512,41 <Интегр-Навиг> 45,8969 -0,904287 -0,192049 3,76234 -3,2115 0 55,75874405293 37,72833856503 172,32801818848 -0,674683 9,8577 -0,522537
3,15752220154 326075 1,62387 Piket 1512,21 <Интегр-Навиг> 46,1042 -0,840836 -0,186133 3,83396 -3,27364 0 55,75874760706 37,72833319312 172,32801818848 -0,613978 10,1362 0,0255231
3,60859680176 326440 1,62387 Piket 1511,2 <Интегр-Навиг> 46,1949 -0,918135 -0,14752 3,92379 -3,33132 0 55,75875113427 37,72832785180 172,32801818848 0,952415 9,93509 0,129745
4,05967140198 326798 1,62387 <_____> 1510,19 <Интегр-Навиг> 46,1774 -0,849141 -0,12397 4,02065 -3,4508 0 55,75875469296 37,72832243692 172,32801818848 -0,591079 9,46946 -0,149806
4,51074600220 327138 1,62387 <_____> 1508,77 <Интегр-Навиг> 46,0481 -0,778456 -0,105125 4,16964 -3,62053 0 55,75875810039 37,72831719637 172,32801818848 0,0903725 9,94676 -0,219168
4,96182060242 327466 1,62387 <_____> 1507,36 <Интегр-Навиг> 45,9511 -0,552221 -0,0919501 4,27088 -3,73465 0 55,75876162893 37,72831173605 172,32801818848 -0,251562 9,55671 -0,751126
5,41289520264 327786 3,24774 <_____> 1505,94 <Интегр-Навиг> 45,8792 -0,467375 -0,110388 4,34795 -3,80435 0 55,75876507500 37,72830638989 172,32801818848 -0,0210474 9,90719 0,379455
5,86396980286 328102 1,62387 <_____> 1505,13 <Интегр-Навиг> 45,859 -0,393139 -0,14364 4,4024 -3,85442 0 55,75876849209 37,72830108309 172,32801818848 -0,175599 9,68359 -0,640717
6,31504440308 328416 1,62387 <_____> 1504,93 <Интегр-Навиг> 45,8222 -0,347863 -0,189354 4,37938 -3,84766 0 55,75877192413 37,72829574269 172,32801818848 -0,217332 9,63594 0,466904
6,76611900330 328733 1,62387 <_____> 1504,93 <Интегр-Навиг> 45,8109 -0,303691 -0,222921 4,36142 -3,80619 0 55,75877540616 37,72829032477 172,32801818848 0,500325 10,1552 0,441076
7,21719360352 329046 3,24774 <_____> 1504,93 <Интегр-Навиг> 45,8865 -0,302932 -0,256988 4,41784 -3,88475 0 55,75877884508 37,72828498985 172,32801818848 -0,213209 9,73172 0,199943
7,66826820374 329357 1,62387 <_____> 1505,13 <Интегр-Навиг> 45,8988 -0,277241 -0,278381 4,43435 -3,88546 0 55,75878224026 37,72827971318 172,32801818848 0,432044 9,99584 1,07445
8,11934280396 329664 1,62387 <_____> 1505,54 <Интегр-Навиг> 45,9332 -0,306484 -0,274235 4,5143 -3,95662 0 55,75878566086 37,72827439157 172,32801818848 0,000577886 9,65342 -0,578832
8,57041740417 329969 1,62387 <_____> 1506,14 <Интегр-Навиг> 45,9621 -0,346604 -0,272753 4,54639 -3,96453 0 55,75878912961 37,72826899355 172,32801818848 -0,310986 10,1949 -0,920756
9,02149200439 330275 1,62387 <_____> 1506,95 <Интегр-Навиг> 46,04 -0,388692 -0,262725 4,4995 -3,91335 0 55,75879257316 37,72826366021 172,32801818848 0,262413 10,0547 0,552757
9,47256660461 330585 3,24774 <_____> 1507,76 <Интегр-Навиг> 46,0368 -0,297038 -0,274674 4,44451 -3,8899 0 55,75879607180 37,72825824007 172,32801818848 0,230437 9,9101 0,204061
9,92364120483 330898 1,62387 Piket 1508,57 <Интегр-Навиг> 46,033 -0,306 -0,27611 4,40114 -3,85009 0 55,75879954330 37,72825286200 172,32801818848 0,213579 9,62907 1,75972
10,37471580505 331210 1,62387 <_____> 1509,38 <Интегр-Навиг> 46,0383 -0,293766 -0,27242 4,44169 -3,87957 0 55,75880293846 37,72824759697 172,32801818848 0,196965 9,8005 1,4374
10,82579040527 331522 1,62387 <_____> 1509,58 <Интегр-Навиг> 46,0319 -0,276187 -0,254206 4,44698 -3,88218 0 55,75880641445 37,72824220806 172,32801818848 0,169604 9,62121 1,26804
11,27686500549 331835 3,24774 <_____> 1510,19 <Интегр-Навиг> 46,0661 -0,346357 -0,227377 4,45924 -3,89665 0 55,75880988505 37,72823683457 172,32801818848 -0,144042 9,71667 0,177208
11,72793960571 332147 1,62387 <_____> 1510,39 <Интегр-Навиг> 46,06 -0,406438 -0,199566 4,43501 -3,88909 0 55,75881335288 37,72823146344 172,32801818848 -0,469901 9,27221 -1,0923
12,17901420593 332461 1,62387 <_____> 1510,59 <Интегр-Навиг> 46,0575 -0,418549 -0,180062 4,4209 -3,85362 0 55,75881681736 37,72822609671 172,32801818848 0,444549 10,3204 0,253814
12,63008880615 332773 1,62387 <_____> 1510,59 <Интегр-Навиг> 46,1053 -0,321036 -0,132862 4,43936 -3,8654 0 55,75882028791 37,72822072355 172,32801818848 0,246463 9,9616 0,70095
13,08116340637 333085 1,62387 <_____> 1510,59 <Интегр-Навиг> 46,0468 -0,157879 -0,113175 4,44034 -3,88625 0 55,75882376924 37,72821531918 172,32801818848 0,0432639 9,39777 0,541281
13,53223800659 333396 3,24774 <_____> 1510,59 <Интегр-Навиг> 46,0583 -0,124974 -0,0725365 4,46955 -3,90005 0 55,75882716983 37,72821003972 172,32801818848 0,229495 9,60687 1,22945
13,98331260681 333709 1,62387 <_____> 1510,59 <Интегр-Навиг> 46,0185 -0,168072 -0,0656572 4,47185 -3,92868 0 55,75883065293 37,72820462676 172,32801818848 0,00387989 9,71316 0,429342
14,43438720703 334021 1,62387 <_____> 1510,59 <Интегр-Навиг> 46,0096 -0,204666 -0,0480859 4,46314 -3,91266 0 55,75883414323 37,72819920729 172,32801818848 -0,383724 9,60636 -0,619421
14,88546180725 334333 1,62387 <_____> 1510,59 <Интегр-Навиг> 45,9972 -0,156706 -0,0585596 4,41096 -3,87049 0 55,75883761759 37,72819380598 172,32801818848 -0,358307 10,223 -0,918306
15,33653640747 334652 3,24774 <_____> 1510,59 <Интегр-Навиг> 45,9592 -0,0999656 -0,0416742 4,36653 -3,81157 0 55,75884112356 37,72818836079 172,32801818848 -0,37684 9,81806 -0,671705
