Путь Время,mc Скорость Отметка Шаблон Статус Курс Крен Тангаж Vn Ve Vh Широта Долгота Высота Ax Ay Az 
-0,90214920044 2165 0 Strelka 1513,82 <Интегр-Навиг> 45,81 -0,682271 -0,359416 0,155878 -0,128967 0 55,75860173894 37,72839401097 172,03855895996 -0,0285772 9,86595 -0,0407451
-0,45107460022 17793 0 Vokzal 1513,62 <Интегр-Навиг> 45,852 -0,819471 -0,339748 0,891241 -0,807316 0 55,75860562439 37,72838887308 170,95277404785 -0,305242 9,68269 0,30883
0,00000000000 18691 0 Piket 1513,01 <Интегр-Навиг> 45,9333 -0,880038 -0,355156 1,83574 -1,74536 0 55,75860844655 37,72838404414 170,84294128418 -0,0704019 10,0209 -0,198686
0,45107460022 19307 0 <_____> 1510,79 <Интегр-Навиг> 45,9981 -0,899423 -0,314127 2,13492 -2,00905 0 55,75861155496 37,72837885338 170,81916809082 -1,32615 9,37034 1,14485
0,90214920044 19844 1,62387 <_____> 1509,58 <Интегр-Навиг> 46,0397 -0,916791 -0,276095 2,40413 -2,27248 0 55,75861400661 37,72837426741 170,71374511719 0,645285 10,073 0,980124
1,35322380066 20331 1,62387 <_____> 1508,17 <Интегр-Навиг> 46,0184 -0,881694 -0,24699 2,57947 -2,43263 0 55,75861704650 37,72836917478 170,69126892090 -0,28459 9,8088 -1,92167
1,80429840088 20805 1,62387 <_____> 1506,35 <Интегр-Навиг> 46,0024 -0,911766 -0,234446 2,70035 -2,54992 0 55,75861948401 37,72836480766 170,59849548340 -0,116242 10,8039 -1,83263
2,25537300110 21239 0 <_____> 1505,13 <Интегр-Навиг> 45,9613 -0,863739 -0,221612 2,84745 -2,70758 0 55,75862250300 37,72835973048 170,57620239258 -0,446176 8,77773 0,499391
2,70644760132 21668 1,62387 <_____> 1504,33 <Интегр-Навиг> 45,8955 -0,860543 -0,212875 2,86197 -2,73551 0 55,75862492689 37,72835573962 170,48747253418 0,340494 9,02841 1,4122
3,15752220154 22087 1,62387 <_____> 1503,32 <Интегр-Навиг> 45,8714 -0,825593 -0,182262 2,9496 -2,82916 0 55,75862795836 37,72835062426 170,46458435059 -1,35406 10,1395 -2,02538
3,60859680176 22494 1,62387 <_____> 1502,91 <Интегр-Навиг> 45,8558 -0,762715 -0,158536 2,99218 -2,83324 0 55,75863092180 37,72834566983 170,36845397949 1,15313 9,664 1,49734
4,05967140198 22894 1,62387 <_____> 1503,11 <Интегр-Навиг> 45,9183 -0,711423 -0,139251 3,0911 -2,92977 0 55,75863394496 37,72834058612 170,34590148926 0,329581 9,65938 0,465238
4,51074600220 23278 1,62387 <_____> 1503,11 <Интегр-Навиг> 46,0224 -0,543525 -0,129476 3,19912 -2,98998 0 55,75863692410 37,72833559803 170,32504272461 0,297805 9,67073 0,514658
4,96182060242 23656 1,62387 <_____> 1503,11 <Интегр-Навиг> 46,1385 -0,448724 -0,151576 3,21386 -3,00349 0 55,75863978833 37,72833019414 170,23139953613 0,594117 9,70773 0,925804
5,41289520264 24030 1,62387 <_____> 1502,91 <Интегр-Навиг> 46,1479 -0,340777 -0,198192 3,28519 -3,09235 0 55,75864281510 37,72832515264 170,21038818359 1,1691 10,401 0,202339
5,86396980286 24395 3,24774 <_____> 1502,31 <Интегр-Навиг> 46,1422 -0,278578 -0,241905 3,33188 -3,14676 0 55,75864583955 37,72832010412 170,19029235840 -0,767587 9,73966 0,0775948
6,31504440308 24759 1,62387 <_____> 1499,07 <Интегр-Навиг> 46,1523 -0,277791 -0,256236 3,3924 -3,16633 0 55,75864841879 37,72831540228 170,08992004395 0,286567 9,86968 -0,0991439
6,76611900330 25116 1,62387 <_____> 1497,26 <Интегр-Навиг> 46,1662 -0,297267 -0,284544 3,34602 -3,13323 0 55,75865145249 37,72831034386 170,06904602051 0,718841 10,2866 -0,0067954
7,21719360352 25480 1,62387 <_____> 1494,83 <Интегр-Навиг> 46,1678 -0,330954 -0,285924 3,34802 -3,15404 0 55,75865445609 37,72830532586 169,96049499512 -0,927888 9,45888 0,323471
7,66826820374 25840 1,62387 <_____> 1492,41 <Интегр-Навиг> 46,1267 -0,302895 -0,278435 3,36809 -3,1804 0 55,75865708890 37,72830072829 169,93757629395 -0,0717817 9,58718 0,838647
8,11934280396 26200 1,62387 <_____> 1491,19 <Интегр-Навиг> 46,0768 -0,293608 -0,26935 3,36181 -3,17116 0 55,75866011213 37,72829566023 169,91487121582 -0,632317 9,68479 -0,766307
8,57041740417 26563 1,62387 <_____> 1490,79 <Интегр-Навиг> 46,0654 -0,342432 -0,273084 3,37705 -3,16985 0 55,75866267704 37,72828956292 169,79650878906 0,731491 9,96084 0,180068
