Путь Время,mc Скорость Отметка Шаблон Статус Курс Крен Тангаж Vn Ve Vh Широта Долгота Высота Ax Ay Az 
-4,91170120239 178525 0 Vokzal 1520,49 <Интегр-Навиг> 63,2012 0,219026 -0,95938 -1,10557 0,597384 0 55,76376684258 37,72251246572 172,80006408691 -0,642692 9,98996 -0,261326
-5,36277580261 179791 0 Stolb 1521,7 <Интегр-Навиг> 63,1501 0,132199 -0,910388 -1,44433 0,762695 0 55,76376451956 37,72251470105 172,83114624023 -0,0763861 10,4916 -0,252083
-5,81385040283 180768 0 Stolb 1521,7 <Интегр-Навиг> 63,0649 0,0956144 -0,885977 -1,79054 0,9503 0 55,76376285821 37,72251632182 172,84181213379 -0,456211 9,00206 -0,00432716
-6,26492500305 181604 0 Vokzal 1521,7 <Интегр-Навиг> 62,9882 0,0634224 -0,854794 -1,92817 1,02232 0 55,76376116465 37,72251818454 172,84059143066 -0,489671 9,91023 0,0243813
-6,71599960327 182376 0 Stolb 1521,7 <Интегр-Навиг> 62,948 0,0203821 -0,828416 -2,01331 1,05636 0 55,76375883700 37,72251771773 172,84434509277 -0,0634026 9,47503 0,142318
-7,16707420349 183112 0 Vokzal 1521,5 <Интегр-Навиг> 62,9415 0,0409324 -0,798079 -2,11732 1,10976 0 55,76375501976 37,72252127928 172,88485717773 -0,224323 9,40539 0,1076
-7,61814880371 183844 -1,62387 Piket 1521,5 <Интегр-Навиг> 62,9668 0,014422 -0,756582 -2,05987 1,08153 0 55,76375307862 37,72252040217 172,88380432129 0,176697 10,43 -0,127815
-8,06922340393 184571 0 <_____> 1522,11 <Интегр-Навиг> 62,9422 0,0346437 -0,686498 -2,14799 1,11561 0 55,76375096761 37,72251870765 172,89122009277 0,345538 9,58743 0,367468
-8,52029800415 185269 0 <_____> 1522,91 <Интегр-Навиг> 62,8879 0,0564115 -0,586571 -2,15042 1,10158 0 55,76374723603 37,72252212251 172,90634155273 0,011757 9,44883 0,198593
-8,97137260437 185979 0 <_____> 1523,32 <Интегр-Навиг> 62,7932 0,0774036 -0,493457 -2,10969 1,09267 0 55,76374505456 37,72252158620 172,94270324707 -0,0718653 9,79185 0,286138
-9,42244720459 186692 0 <_____> 1523,52 <Интегр-Навиг> 62,7263 0,106656 -0,375953 -2,03392 1,04462 0 55,76374308420 37,72252056841 172,95610046387 0,192456 10,4604 -0,168029
-9,87352180481 187406 -1,62387 <_____> 1523,52 <Интегр-Навиг> 62,6812 0,147933 -0,279073 -2,14429 1,0983 0 55,76373935582 37,72252396004 172,97630310059 0,0419992 9,54126 0,497119
-10,32459640503 188076 0 <_____> 1523,52 <Интегр-Навиг> 62,6819 0,162655 -0,178747 -2,34087 1,20212 0 55,76373565901 37,72252732677 173,00865173340 -0,379127 9,99305 0,616098
-10,77567100525 188698 0 <_____> 1523,52 <Интегр-Навиг> 62,6792 0,153843 -0,111741 -2,43271 1,26662 0 55,76373192509 37,72253073203 173,03213500977 0,644246 10,2792 -0,292902
-11,22674560547 189302 -1,62387 <_____> 1523,52 <Интегр-Навиг> 62,6326 0,142711 -0,0650783 -2,46126 1,25761 0 55,76372824712 37,72253410272 173,06153869629 -0,729825 9,12587 0,0813548
-11,67782020569 189905 0 <_____> 1523,12 <Интегр-Навиг> 62,5493 0,122504 -0,0364046 -2,43192 1,26054 0 55,76372551176 37,72253478442 173,09057617188 -0,604783 9,60062 0,221177
-12,12889480591 190505 -1,62387 <_____> 1522,71 <Интегр-Навиг> 62,4711 0,120632 -0,0295305 -2,48532 1,28076 0 55,76372482350 37,72253115783 173,12695312500 0,20929 10,1313 0,0122385
-12,57996940613 191087 0 <_____> 1522,71 <Интегр-Навиг> 62,4463 0,110431 -0,0561315 -2,56834 1,3084 0 55,76372116454 37,72253448771 173,15486145020 0,0359621 10,0681 -0,480043
-13,03104400635 191666 -1,62387 <_____> 1522,51 <Интегр-Навиг> 62,4505 0,111152 -0,0933709 -2,51416 1,28639 0 55,76371819741 37,72253535583 173,20834350586 -0,549344 9,56112 0,289466
-13,48211860657 192245 -1,62387 <_____> 1522,51 <Интегр-Навиг> 62,4477 0,116518 -0,141118 -2,57948 1,32972 0 55,76371452316 37,72253869233 173,26748657227 0,091342 9,74967 0,272736
-13,93319320679 192795 0 <_____> 1522,51 <Интегр-Навиг> 62,4455 0,146944 -0,185509 -2,70688 1,38674 0 55,76371088112 37,72254200370 173,29588317871 0,139849 9,80039 0,197139
-14,38426780701 193333 -1,62387 <_____> 1522,71 <Интегр-Навиг> 62,4184 0,131221 -0,237983 -2,71869 1,3967 0 55,76370722389 37,72254533460 173,35739135742 -0,151294 9,88274 -0,555001
-14,83534240723 193871 0 Piket 1523,12 <Интегр-Навиг> 62,3739 0,110133 -0,286812 -2,77011 1,42872 0 55,76370355109 37,72254868567 173,38633728027 -0,245094 9,65827 0,336841
-15,28641700745 194407 -1,62387 <_____> 1523,32 <Интегр-Навиг> 62,3272 0,136775 -0,330282 -2,69733 1,38905 0 55,76370090316 37,72254962448 173,43986511230 -0,230153 10,2298 -0,818004
-15,73749160767 194960 -1,62387 <_____> 1523,12 <Интегр-Навиг> 62,3224 0,169481 -0,377117 -2,61536 1,34397 0 55,76369725066 37,72255295219 173,47045898438 -0,345359 9,25038 0,561254
-16,18856620789 195510 0 <_____> 1522,71 <Интегр-Навиг> 62,329 0,158842 -0,399809 -2,69149 1,39626 0 55,76369409137 37,72255789746 173,52668762207 -0,0983609 10,367 -0,787706
-16,63964080811 196029 -1,62387 <_____> 1522,71 <Интегр-Навиг> 62,363 0,157124 -0,423727 -2,93803 1,51957 0 55,76369043237 37,72256124961 173,55595397949 0,506029 9,92624 0,0422378
-17,09071540833 196506 -1,62387 <_____> 1522,51 <Интегр-Навиг> 62,3587 0,16961 -0,43796 -3,18552 1,63833 0 55,76368695169 37,72256568946 173,60002136230 -0,414973 9,54315 0,775297
-17,54179000854 196959 -1,62387 <_____> 1522,71 <Интегр-Навиг> 62,3502 0,207692 -0,411389 -3,26868 1,69776 0 55,76368330641 37,72256904137 173,62568664551 -0,378891 9,23574 0,346358
-17,99286460876 197408 -1,62387 <_____> 1522,91 <Интегр-Навиг> 62,2685 0,0129785 -0,44549 -3,2173 1,67792 0 55,76367969030 37,72257238456 173,62696838379 0,314514 10,2512 -0,646612
-18,44393920898 197864 0 <_____> 1522,11 <Интегр-Навиг> 62,1616 -0,200504 -0,416306 -3,12013 1,62184 0 55,76367609078 37,72257571489 173,65321350098 -0,842809 9,37734 0,491269
-18,89501380920 198341 -1,62387 <_____> 1522,11 <Интегр-Навиг> 62,0541 -0,142427 -0,411083 -2,94473 1,542 0 55,76367242829 37,72257910817 173,64707946777 -0,317288 9,88562 -0,775437
-19,34608840942 198825 -1,62387 <_____> 1520,69 <Интегр-Навиг> 62,066 -0,101261 -0,33246 -3,07708 1,62153 0 55,76366877779 37,72258249332 173,67616271973 0,500767 10,1647 -0,962725
-19,79716300964 199281 -1,62387 <_____> 1520,89 <Интегр-Навиг> 62,0762 -0,040908 -0,254287 -3,26938 1,69975 0 55,76366516708 37,72258584481 173,67437744141 -1,14055 8,75091 0,805148
-20,24823760986 199715 -1,62387 <_____> 1521,7 <Интегр-Навиг> 62,0725 -0,0650621 -0,167822 -3,43459 1,80887 0 55,76366129325 37,72259205022 173,69978332520 1,03223 11,594 -1,03852
-20,69931221008 200131 -1,62387 <_____> 1522,11 <Интегр-Навиг> 62,1077 -0,105888 -0,0836501 -3,55794 1,86696 0 55,76365763662 37,72259545753 173,72401428223 0,877571 10,4501 0,200871
-21,15038681030 200538 -1,62387 <_____> 1522,11 <Интегр-Навиг> 62,148 -0,0422369 0,00219287 -3,69879 1,94315 0 55,76365395108 37,72260244443 173,72677612305 -0,139156 8,93845 1,15925
-21,60146141052 200923 -1,62387 <_____> 1521,9 <Интегр-Навиг> 62,182 -0,0115657 0,0591894 -3,85704 2,03802 0 55,76365037375 37,72260579821 173,74818420410 0,408248 10,1426 -0,567798
-22,05253601074 201289 -1,62387 <_____> 1522,11 <Интегр-Навиг> 62,2195 -0,0244425 0,0761369 -4,01074 2,11998 0 55,76364675752 37,72260918845 173,75616455078 -0,852493 9,25473 0,617821
-22,50361061096 201648 -1,62387 <_____> 1522,11 <Интегр-Навиг> 62,2284 -0,070134 0,0703393 -4,10896 2,18355 0 55,76364363217 37,72261263147 173,77565002441 -0,0231112 9,86698 -0,370882
-22,95468521118 201997 -1,62387 <_____> 1522,11 <Интегр-Навиг> 62,2015 -0,0139658 0,0462992 -4,17567 2,21121 0 55,76364003856 37,72261600705 173,79405212402 0,205301 9,87429 -0,0218672
-23,40575981140 202343 -1,62387 <_____> 1522,11 <Интегр-Навиг> 62,1715 0,00114363 -0,0127091 -4,20467 2,22383 0 55,76363697002 37,72262068851 173,77429199219 -0,355961 9,26227 1,22097
-23,85683441162 202684 -1,62387 <_____> 1521,7 <Интегр-Навиг> 62,1519 0,0190491 -0,0814538 -4,27322 2,28104 0 55,76363329935 37,72262414930 173,79180908203 0,220404 9,68695 1,31387
-24,30790901184 203022 -1,62387 <_____> 1521,1 <Интегр-Навиг> 62,1531 -0,0262489 -0,16656 -4,27845 2,27838 0 55,76362973950 37,72262751204 173,80813598633 0,220489 10,1762 -0,513807
-24,75898361206 203365 -3,24774 Piket 1520,49 <Интегр-Навиг> 62,1302 -0,0584429 -0,262211 -4,17733 2,22726 0 55,76362608050 37,72263096860 173,75955200195 0,0432981 10,2945 -0,957384
-25,21005821228 203718 -1,62387 <_____> 1520,49 <Интегр-Навиг> 62,1134 0,00352736 -0,344482 -4,05003 2,1504 0 55,76362246292 37,72263438426 173,77618408203 0,096462 9,76893 0,523316
-25,66113281250 204083 -1,62387 <_____> 1520,49 <Интегр-Навиг> 62,0977 0,00112007 -0,434247 -3,94026 2,10146 0 55,76361888558 37,72263776569 173,79261779785 0,230313 10,4642 -0,606092
-26,11220741272 204452 -1,62387 <_____> 1520,49 <Интегр-Навиг> 62,105 -0,0447519 -0,502308 -3,87848 2,07094 0 55,76361522399 37,72264122824 173,74209594727 0,225272 9,84911 -0,452399
-26,56328201294 204827 -1,62387 <_____> 1520,49 <Интегр-Навиг> 62,068 -0,00528001 -0,539822 -3,86766 2,0617 0 55,76361161812 37,72264464354 173,75862121582 -0,00934908 9,96595 -0,511465
-27,01435661316 205203 -1,62387 <_____> 1520,49 <Интегр-Навиг> 62,0476 -0,0367961 -0,584012 -3,86542 2,075 0 55,76360802190 37,72264805003 173,77528381348 -0,417244 9,64855 -0,281649
-27,46543121338 205574 -1,62387 <_____> 1520,49 <Интегр-Навиг> 62,0291 -0,0691162 -0,62426 -3,90493 2,09404 0 55,76360457265 37,72265435652 173,72529602051 0,204148 10,2197 -0,579601
-27,91650581360 205944 -1,62387 <_____> 1520,49 <Интегр-Навиг> 62,0324 0,000504674 -0,651479 -3,93356 2,11191 0 55,76360091228 37,72265783907 173,74084472656 0,241576 10,3936 -0,78956
-28,36758041382 206307 -1,62387 <_____> 1520,49 <Интегр-Навиг> 62,0555 -0,0224639 -0,653118 -4,02023 2,17143 0 55,76359570177 37,72266880910 173,69250488281 -0,130547 9,28435 0,672463
-28,81865501404 206671 -1,62387 <_____> 1520,49 <Интегр-Навиг> 62,0578 -0,0505074 -0,664078 -3,94524 2,12971 0 55,76359204921 37,72267229455 173,70672607422 -0,46912 9,25712 -0,0902717
-29,26972961426 207036 -1,62387 <_____> 1521,1 <Интегр-Навиг> 62,0929 -0,071591 -0,663423 -4,02904 2,16977 0 55,76358847225 37,72267571150 173,72044372559 -0,461309 9,42664 1,14933
-29,72080421448 207394 -3,24774 <_____> 1522,11 <Интегр-Навиг> 62,0957 -0,0384249 -0,647805 -4,09056 2,19693 0 55,76358454931 37,72268148184 173,66224670410 -0,538168 9,50696 0,941088
-30,17187881470 207749 -1,62387 <_____> 1522,51 <Интегр-Навиг> 62,079 0,0101974 -0,629368 -4,19316 2,24458 0 55,76358093069 37,72268494633 173,67456054688 0,0268752 10,4532 -0,882643
-30,62295341492 208091 -1,62387 <_____> 1522,71 <Интегр-Навиг> 62,0497 -0,00947398 -0,610446 -4,2213 2,28607 0 55,76357726931 37,72268844707 173,68621826172 0,180387 10,0855 -1,08209
-31,07402801514 208435 -1,62387 <_____> 1522,91 <Интегр-Навиг> 62,0471 -0,0479523 -0,605422 -4,24828 2,28219 0 55,76357338246 37,72269273909 173,62800598145 -0,555048 9,24495 1,27883
-31,52510261536 208772 -1,62387 <_____> 1522,51 <Интегр-Навиг> 62,0706 -0,0139307 -0,57662 -4,35189 2,36624 0 55,76356972250 37,72269624627 173,63819885254 -0,408568 8,82221 0,744919
-31,97617721558 209106 -1,62387 <_____> 1522,31 <Интегр-Навиг> 62,0811 -0,00326442 -0,591448 -4,32939 2,34015 0 55,76356609974 37,72269971099 173,64822387695 -0,294063 10,1886 -1,16295
-32,42725372314 209441 -1,62387 <_____> 1522,11 <Интегр-Навиг> 62,0874 -0,0758101 -0,594221 -4,34271 2,33565 0 55,76356263250 37,72270424863 173,59245300293 -0,726336 9,05285 1,21818
-32,87832641602 209779 -3,24774 <_____> 1521,9 <Интегр-Навиг> 62,0724 -0,0724742 -0,573809 -4,27426 2,30097 0 55,76355898199 37,72270774555 173,60182189941 -0,325845 9,41776 0,784646
-33,32939910889 210125 -1,62386 <_____> 1521,1 <Интегр-Навиг> 62,063 -0,0226133 -0,562536 -4,17737 2,26475 0 55,76355534718 37,72271122716 173,61097717285 -0,0186397 9,94741 -0,362377
-33,78047561646 210469 -1,62386 <_____> 1520,29 <Интегр-Навиг> 62,0838 -0,0816003 -0,545777 -4,21355 2,28503 0 55,76355182369 37,72271500192 173,55894470215 -0,131463 9,51232 1,07949
-34,23155212402 210816 -1,62388 <_____> 1519,68 <Интегр-Навиг> 62,1219 -0,0652154 -0,549457 -4,15566 2,22821 0 55,76354820439 37,72271847101 173,56744384766 -0,0286212 9,98187 -0,642993
-34,68262481689 211174 -1,62388 Piket 1519,68 <Интегр-Навиг> 62,1528 -0,0851632 -0,55083 -4,00343 2,16621 0 55,76354453691 37,72272198121 173,57588195801 0,172966 10,1419 -0,275064
-35,13369750977 211539 -1,62386 <_____> 1519,68 <Интегр-Навиг> 62,1572 -0,0959008 -0,600174 -3,88647 2,11199 0 55,76354113333 37,72272482508 173,51664733887 0,677887 10,5403 -1,05139
-35,58477401733 211935 -1,62386 <_____> 1519,68 <Интегр-Навиг> 62,1388 -0,104623 -0,645186 -3,46384 1,87914 0 55,76353750207 37,72272830133 173,52508544922 0,517483 10,9892 -0,40665
-36,03585052490 212405 -1,62388 <_____> 1519,68 <Интегр-Навиг> 62,1062 -0,0718297 -0,675853 -2,79804 1,5269 0 55,76353441103 37,72273250449 173,48205566406 0,169722 10,1058 -1,16473
-36,48692321777 213010 -1,62388 <_____> 1520,49 <Интегр-Навиг> 62,1238 -0,136284 -0,718339 -1,93893 1,07002 0 55,76353071907 37,72273609211 173,49348449707 -0,132022 10,1668 -0,439139
-36,93799591064 214242 0 <_____> 1521,1 <Интегр-Навиг> 62,1096 0,0202363 -0,779308 -0,725372 0,455047 0 55,76352714608 37,72274045648 173,46739196777 0,302955 10,4276 -0,597677
-37,38907241821 219812 0 <_____> 1520,49 <Интегр-Навиг> 62,0675 0,217178 -0,815168 -1,47765 0,845358 0 55,76352176422 37,72275281231 173,50289916992 -0,403348 9,21805 0,504097
-37,84014892578 220592 0 <_____> 1520,49 <Интегр-Навиг> 62,0593 0,259823 -0,841567 -2,26108 1,26419 0 55,76351824698 37,72275704940 173,50366210938 -0,162611 10,1952 -0,20911
-38,29122161865 221164 0 <_____> 1521,1 <Интегр-Навиг> 62,0726 0,351446 -0,879975 -2,82951 1,56138 0 55,76351457250 37,72276067016 173,50904846191 -0,0915902 9,25894 0,685673
-38,74229431152 221659 -1,62386 <_____> 1521,1 <Интегр-Навиг> 62,0911 0,427408 -0,921817 -3,07515 1,69703 0 55,76351230993 37,72276341213 173,48091125488 -0,17148 10,0333 -0,831052
-39,19337081909 222121 -1,62386 <_____> 1520,89 <Интегр-Навиг> 62,0999 0,541392 -0,935023 -3,23878 1,78125 0 55,76350867525 37,72276695735 173,48220825195 0,119464 10,0851 0,686882
-39,64444732666 222566 -1,62388 <_____> 1520,89 <Интегр-Навиг> 62,1031 0,633185 -0,938344 -3,32436 1,80156 0 55,76350713933 37,72276589814 173,44987487793 -0,818887 8,61685 0,519845
-40,09552001953 222997 -1,62388 <_____> 1520,89 <Интегр-Навиг> 62,0871 0,713754 -0,93688 -3,43348 1,87302 0 55,76350349661 37,72276942782 173,44883728027 0,326611 10,3288 0,803725
-40,54659271240 223413 -1,62386 <_____> 1521,1 <Интегр-Навиг> 62,05 0,845074 -0,922342 -3,54862 1,92324 0 55,76350139928 37,72276872401 173,41735839844 -0,391654 8,83591 1,09846
-40,99766921997 223816 -1,62386 <_____> 1521,1 <Интегр-Навиг> 62,0596 0,805458 -0,895329 -3,64805 1,98009 0 55,76349781627 37,72277217121 173,41497802734 0,310345 10,8175 -0,774981
-41,44874572754 224206 -1,62388 <_____> 1520,89 <Интегр-Навиг> 62,0474 0,835925 -0,864041 -3,74873 2,03609 0 55,76349417715 37,72277567212 173,41183471680 0,600795 10,7936 -0,826917
-41,89981842041 224585 -1,62388 <_____> 1520,49 <Интегр-Навиг> 62,034 0,76732 -0,804371 -3,87524 2,08773 0 55,76349133014 37,72277481076 173,37220764160 -0,229158 9,5234 0,678032
-42,35089111328 224952 -1,62386 <_____> 1520,49 <Интегр-Навиг> 62,0336 0,725522 -0,729587 -3,99632 2,15265 0 55,76348773643 37,72277824101 173,36895751953 0,184598 9,56394 -0,0938801
-42,80196762085 225308 -1,62386 <_____> 1520,49 <Интегр-Навиг> 61,9347 0,695895 -0,649563 -4,09684 2,14821 0 55,76348418266 37,72278165496 173,33401489258 0,204567 8,70011 2,28754
-43,25304412842 225672 -1,62388 <_____> 1520,49 <Интегр-Навиг> 62,0059 -0,0251351 -0,623744 -3,82582 2,03809 0 55,76348192268 37,72278048087 173,33482360840 -0,267753 9,22722 0,872184
-43,70411682129 226050 -1,62388 <_____> 1520,89 <Интегр-Навиг> 61,9815 -0,569382 -0,615135 -3,80633 2,02462 0 55,76347833288 37,72278389903 173,33549499512 -1,59116 9,05573 0,893263
-44,15518951416 226436 -1,62386 <_____> 1521,1 <Интегр-Навиг> 62,0276 -0,710783 -0,678527 -3,6048 1,9447 0 55,76347581360 37,72278445888 173,31356811523 -0,0178285 10,1733 -0,66712
-44,60626602173 226853 -1,62386 Piket 1520,69 <Интегр-Навиг> 62,034 -0,691397 -0,699827 -3,35772 1,80944 0 55,76347217979 37,72278791701 173,32006835938 -0,429958 9,09319 -0,0937218
-45,05734252930 227290 -1,62388 <_____> 1520,49 <Интегр-Навиг> 62,0603 -0,736518 -0,73032 -3,22925 1,73432 0 55,76346861413 37,72279132183 173,32641601563 0,310486 10,6493 0,769031
-45,50841522217 227746 -1,62388 <_____> 1520,49 <Интегр-Навиг> 62,0491 -0,732546 -0,745611 -3,12453 1,66413 0 55,76346570685 37,72279175145 173,30868530273 0,208603 9,91975 1,06876
-45,95948791504 228207 -1,62386 <_____> 1519,48 <Интегр-Навиг> 62,0669 -0,776074 -0,758025 -3,15964 1,67978 0 55,76346211638 37,72279515092 173,31518554688 -0,462968 9,05586 0,275344
-46,41056442261 228658 -1,62386 <_____> 1518,07 <Интегр-Навиг> 62,0728 -0,73211 -0,785194 -3,229 1,73214 0 55,76345835181 37,72279763050 173,29878234863 -0,111073 9,46344 -0,463428
-46,86164093018 229093 0 <_____> 1518,67 <Интегр-Навиг> 62,0744 -0,766515 -0,806917 -3,31927 1,77064 0 55,76345478387 37,72280100431 173,30477905273 0,0285904 9,40895 1,30364
-47,31271362305 229527 -1,62388 <_____> 1519,28 <Интегр-Навиг> 62,0652 -0,668547 -0,827059 -3,37131 1,78623 0 55,76345067472 37,72280536849 173,28855895996 -1,09264 8,25556 0,410317
-47,76378631592 229947 -1,62386 <_____> 1519,28 <Интегр-Навиг> 62,0283 -0,569208 -0,822321 -3,49773 1,88164 0 55,76344708792 37,72280876691 173,29335021973 0,281428 10,9012 -0,519883
-48,21486282349 230355 -1,62386 <_____> 1519,28 <Интегр-Навиг> 62,066 -0,474725 -0,80942 -3,624 1,91125 0 55,76344364870 37,72281307023 173,25460815430 0,0523983 8,9409 1,58553
