Путь Время,mc Скорость Отметка Шаблон Статус Курс Крен Тангаж Vn Ve Vh Широта Долгота Высота Ax Ay Az 
-563,84326171875 25551 0 <_____> 1509,18 <Интегр-Навиг> 62,9958 0,206987 -1,03022 -1,23787 0,900782 0 55,76385256317 37,72251757765 170,37977600098 -0,117152 10,5276 -0,108234
-564,29431152344 26403 0 Piket 1509,58 <Интегр-Навиг> 63,0014 0,179152 -0,988841 -1,61193 1,10008 0 55,76384809329 37,72252130265 170,23818969727 -0,132457 9,65104 -0,0303208
-564,74542236328 27133 0 <_____> 1510,39 <Интегр-Навиг> 62,9242 0,156274 -0,942027 -1,92114 1,2689 0 55,76384491186 37,72252507255 170,29428100586 -0,217751 10,3984 -0,224976
-565,19647216797 27734 0 <_____> 1510,59 <Интегр-Навиг> 62,8253 0,176564 -0,933903 -2,38012 1,50041 0 55,76384225024 37,72252680259 170,09774780273 0,753392 10,556 -1,14866
-565,64752197266 28273 -1,62378 <_____> 1510,59 <Интегр-Навиг> 62,7724 0,111345 -0,887773 -2,41719 1,52019 0 55,76383899894 37,72253040790 170,13238525391 -0,903142 9,45184 -0,0468371
-566,09863281250 28824 -1,62378 <_____> 1510,59 <Интегр-Навиг> 62,741 0,111332 -0,867682 -2,44768 1,53156 0 55,76383512030 37,72253300761 169,89389038086 0,152098 10,0607 -0,449819
-566,54968261719 29348 0 <_____> 1510,59 <Интегр-Навиг> 62,756 0,162171 -0,824614 -2,55516 1,59153 0 55,76383180738 37,72253666218 169,65972900391 0,502106 10,3965 -0,356985
-567,00079345703 29871 -1,62378 <_____> 1510,59 <Интегр-Навиг> 62,7795 0,0922339 -0,769933 -2,52073 1,56171 0 55,76382760443 37,72253879430 169,67985534668 -0,819327 9,56206 0,565364
-567,45184326172 30379 -1,624 <_____> 1510,59 <Интегр-Навиг> 62,7362 0,147265 -0,697712 -2,72401 1,66947 0 55,76382431104 37,72254240297 169,44004821777 0,619559 10,2749 -0,0869713
-567,90289306641 30870 0 <_____> 1510,59 <Интегр-Навиг> 62,6721 0,131479 -0,603818 -2,69689 1,65142 0 55,76382029377 37,72254642414 169,45274353027 -0,0243776 9,23259 1,26811
-568,35400390625 31364 -1,62378 <_____> 1511,4 <Интегр-Навиг> 62,5893 0,1677 -0,500741 -2,72982 1,67971 0 55,76381698322 37,72255004159 169,20814514160 -0,292848 9,98884 -0,323796
-568,80505371094 31833 -1,624 <_____> 1512,81 <Интегр-Навиг> 62,5099 0,198808 -0,390236 -2,92568 1,78478 0 55,76381305992 37,72255255142 169,21376037598 0,937936 10,0991 1,10606
-569,25616455078 32290 -1,62378 <_____> 1513,22 <Интегр-Навиг> 62,4874 0,201698 -0,278481 -2,94722 1,78746 0 55,76380969751 37,72255617965 169,21893310547 0,392134 9,77593 1,3687
-569,70721435547 32748 -1,624 <_____> 1513,22 <Интегр-Навиг> 62,4899 0,235802 -0,193161 -2,93198 1,77235 0 55,76380581490 37,72255839451 168,95541381836 -0,61381 9,21148 1,07688
