Путь Время,mc Скорость Отметка Шаблон Статус Курс Крен Тангаж Vn Ve Vh Широта Долгота Высота Ax Ay Az 
701,87207031250 64510 0 Piket 1490,59 <Интегр-Навиг> 62,7766 0,182115 -1,00187 -2,67792 1,59101 0 55,76386342775 37,72247898913 161,28462219238 -1,00212 8,92497 2,10216
701,42102050781 64989 -1,624 <_____> 1491,19 <Интегр-Навиг> 62,7772 0,164625 -0,962716 -3,1464 1,83447 0 55,76385999630 37,72248172973 161,27696228027 -0,10923 10,5997 -0,932677
700,96990966797 65423 -1,62378 <_____> 1492,81 <Интегр-Навиг> 62,8565 0,128826 -0,934864 -3,24428 1,87455 0 55,76385654336 37,72248528181 161,25064086914 0,0634762 8,69582 1,23485
700,51885986328 65839 -1,624 <_____> 1495,44 <Интегр-Навиг> 62,9359 0,116791 -0,908477 -3,4599 1,96905 0 55,76385827351 37,72248318314 161,26202392578 -0,579599 9,45525 -0,583253
700,06774902344 66222 -1,62378 <_____> 1497,86 <Интегр-Навиг> 63,0002 0,0586485 -0,875183 -3,70245 2,10401 0 55,76385484991 37,72248662838 161,24000549316 0,848452 9,92508 0,212113
699,61669921875 66602 -1,624 <_____> 1499,28 <Интегр-Навиг> 63,086 0,0653059 -0,831968 -3,62287 2,02409 0 55,76385253801 37,72248779463 161,24826049805 -0,383833 9,59081 0,53459
699,16564941406 66986 -1,62378 <_____> 1500,89 <Интегр-Навиг> 63,1866 -0,0293349 -0,798375 -3,56285 1,99907 0 55,76384905046 37,72249128334 161,22654724121 -0,146578 9,59316 0,900237
698,71453857422 67376 -1,62378 <_____> 1502,71 <Интегр-Навиг> 63,1989 0,0557015 -0,714179 -3,58043 2,02479 0 55,76384561829 37,72249470432 161,20503234863 -0,207993 10,3308 -0,749401
698,26348876953 67761 -1,624 <_____> 1505,34 <Интегр-Навиг> 63,1676 0,148696 -0,627045 -3,67539 2,04853 0 55,76384248483 37,72249626073 161,20487976074 0,650224 10,0351 0,664962
697,81237792969 68127 -1,62378 <_____> 1509,18 <Интегр-Навиг> 63,0025 0,0425208 -0,523093 -3,81277 2,18719 0 55,76383902948 37,72249970921 161,18460083008 1,20605 10,4421 0,328992
697,36132812500 68490 -1,624 <_____> 1513,22 <Интегр-Навиг> 62,8626 0,160946 -0,412663 -3,78478 2,14989 0 55,76383562639 37,72250315201 161,17733764648 -0,943659 9,61001 -0,817975
696,91027832031 68857 -1,624 <_____> 1516,04 <Интегр-Навиг> 62,7924 0,171991 -0,30735 -3,76215 2,14584 0 55,76383174903 37,72250654827 161,15713500977 -0,265708 10,2701 -0,635219
696,45916748047 69220 -3,24756 <_____> 1518,67 <Интегр-Навиг> 62,788 0,147211 -0,22704 -3,82931 2,20653 0 55,76382827808 37,72251007215 161,13655090332 0,267894 9,85359 -0,512749
696,00811767578 69576 -1,624 <_____> 1519,88 <Интегр-Навиг> 62,7744 0,153045 -0,171805 -3,91694 2,24443 0 55,76382408741 37,72251315022 161,11024475098 -1,35269 8,861 0,859021
695,55700683594 69934 -1,62378 <_____> 1519,88 <Интегр-Навиг> 62,6837 0,069719 -0,129165 -3,75204 2,14511 0 55,76382062433 37,72251668089 161,08955383301 -1,2445 8,34723 0,280183
695,10595703125 70312 -1,624 <_____> 1519,88 <Интегр-Навиг> 62,5884 0,140715 -0,123953 -3,63099 2,10197 0 55,76381718079 37,72252022387 161,06759643555 -0,910866 9,15153 -0,0890275
694,65490722656 70685 -1,62378 <_____> 1519,88 <Интегр-Навиг> 62,5477 0,141681 -0,127264 -3,75408 2,19075 0 55,76381326000 37,72252333512 161,02156066895 0,566404 10,0265 -0,117253
694,20379638672 71045 -1,62378 <_____> 1519,68 <Интегр-Навиг> 62,5629 0,0617564 -0,175327 -3,90527 2,25605 0 55,76380982915 37,72252686495 161,00015258789 0,280823 10,1173 0,103774
693,75274658203 71393 -1,624 <_____> 1519,68 <Интегр-Навиг> 62,597 0,0123905 -0,217486 -3,97895 2,29718 0 55,76380640981 37,72253037014 160,97944641113 -0,486098 9,63348 -0,214225
693,30163574219 71738 -1,62378 <_____> 1519,68 <Интегр-Навиг> 62,5776 0,0586805 -0,267661 -4,01309 2,31783 0 55,76380248935 37,72253434076 160,92959594727 0,0112634 9,69942 0,668979
692,85058593750 72085 -1,624 <_____> 1519,48 <Интегр-Навиг> 62,5692 0,084712 -0,323385 -3,94311 2,27548 0 55,76379899500 37,72253792434 160,90802001953 -0,0368787 10,3458 -0,444072
692,39953613281 72438 -1,624 Piket 1519,48 <Интегр-Навиг> 62,5182 0,0539047 -0,365886 -3,8861 2,25578 0 55,76379560875 37,72254140407 160,88668823242 0,416025 9,99777 -0,370096
691,94842529297 72791 -3,24756 <_____> 1519,48 <Интегр-Навиг> 62,4749 0,0251848 -0,410693 -3,91314 2,27077 0 55,76379092988 37,72254545673 160,83337402344 -0,0300212 10,3674 -0,165881
691,49737548828 73148 -1,624 <_____> 1519,68 <Интегр-Навиг> 62,4461 0,0479559 -0,462394 -3,83015 2,22758 0 55,76378744106 37,72254904924 160,81080627441 -0,0441771 10,0503 -1,365
691,04626464844 73510 -1,62378 <_____> 1519,68 <Интегр-Навиг> 62,4389 -0,0026569 -0,489887 -3,71714 2,16729 0 55,76378403236 37,72255256836 160,75564575195 -1,16655 8,71957 -0,173247
