Путь Время,mc Скорость Отметка Шаблон Статус Курс Крен Тангаж Vn Ve Vh Широта Долгота Высота Ax Ay Az 
790,95477294922 22724 0 Piket 1520,09 <Интегр-Навиг> 45,9062 -0,652091 -0,321313 0,580328 -0,288444 0 55,75862942153 37,72850757039 179,75495910645 -0,219697 9,9413 -0,0913907
790,72924804688 23608 0 <_____> 1517,86 <Интегр-Навиг> 45,9033 -0,582969 -0,304396 0,847826 -0,562546 0 55,75862933841 37,72850764889 179,96090698242 -0,0544619 9,84652 -0,0970552
790,50372314453 24326 0 <_____> 1519,28 <Интегр-Навиг> 45,9168 -0,585354 -0,292909 0,823413 -0,518914 0 55,75863090891 37,72850581394 180,00070190430 -0,13443 9,84186 0,182996
790,27813720703 25211 0 <_____> 1517,86 <Интегр-Навиг> 45,9316 -0,667746 -0,275438 0,712436 -0,416986 0 55,75863038984 37,72850667916 180,25028991699 -0,0322973 9,67499 0,0925395
790,05261230469 26051 0 <_____> 1519,08 <Интегр-Навиг> 45,933 -0,630474 -0,26289 0,763252 -0,468646 0 55,75863141711 37,72850506536 180,48088073730 -0,0993195 9,81131 0,173185
789,82708740234 26976 0 <_____> 1519,48 <Интегр-Навиг> 45,9378 -0,672007 -0,241873 0,645406 -0,358401 0 55,75863280840 37,72850300528 180,71746826172 -0,00526896 9,82532 0,112723
789,60156250000 27801 0 <_____> 1519,48 <Интегр-Навиг> 45,96 -0,670773 -0,221643 0,878363 -0,588636 0 55,75863393689 37,72850105724 180,85960388184 0,075985 9,6765 0,0466336
789,37603759766 28422 0 <_____> 1519,48 <Интегр-Навиг> 45,9457 -0,670713 -0,214703 1,07289 -0,772133 0 55,75863544727 37,72849918797 180,91355895996 -0,0364424 9,76518 -0,0799347
789,15045166016 28931 -0,81189 <_____> 1519,48 <Интегр-Навиг> 45,9425 -0,67289 -0,218521 1,23527 -0,931063 0 55,75863679130 37,72849638859 180,95407104492 -0,204358 10,0784 -0,0275944
788,92492675781 29377 -0,812109 <_____> 1519,48 <Интегр-Навиг> 45,944 -0,673538 -0,200527 1,36262 -1,06793 0 55,75863824147 37,72849441968 180,99194335938 0,125128 9,88272 0,0340852
788,69940185547 29777 -0,81189 <_____> 1519,48 <Интегр-Навиг> 45,9497 -0,671623 -0,18597 1,4861 -1,18925 0 55,75863901204 37,72849243642 180,95835876465 0,0852274 9,80528 0,0484451
788,47387695313 30141 -0,81189 <_____> 1519,48 <Интегр-Навиг> 45,9562 -0,665016 -0,1788 1,619 -1,29632 0 55,75864043299 37,72849042555 180,98756408691 0,268992 9,98166 -0,0758397
788,24835205078 30482 -0,81189 <_____> 1519,48 <Интегр-Навиг> 45,976 -0,657983 -0,177334 1,71773 -1,38955 0 55,75864184448 37,72848840375 181,01443481445 -0,0919581 9,76237 0,112151
788,02282714844 30800 -0,81189 <_____> 1519,08 <Интегр-Навиг> 45,9989 -0,649292 -0,171132 1,80992 -1,4853 0 55,75864268304 37,72848635879 180,91662597656 0,0165582 9,72419 0,00518397
787,79724121094 31102 -0,81189 <_____> 1517,86 <Интегр-Навиг> 46,0163 -0,63697 -0,153111 1,89336 -1,56509 0 55,75864409943 37,72848429091 180,93862915039 0,144873 9,85153 0,00013411
787,57171630859 31390 -0,81189 <_____> 1517,05 <Интегр-Навиг> 46,0319 -0,618625 -0,158442 1,97393 -1,63495 0 55,75864548301 37,72848225913 180,95893859863 0,102715 10,2842 -0,110307
787,34619140625 31666 -1,624 <_____> 1516,85 <Интегр-Навиг> 46,0386 -0,604833 -0,143398 2,04267 -1,71153 0 55,75864609486 37,72848041911 180,84107971191 -0,24423 9,62366 -0,240038
787,12066650391 31934 -0,81189 <_____> 1516,85 <Интегр-Навиг> 46,0482 -0,57766 -0,122273 2,11615 -1,78161 0 55,75864751221 37,72847831105 180,85862731934 -0,00508339 9,79538 -0,120989
