Путь Время,mc Скорость Отметка Шаблон Статус Курс Крен Тангаж Vn Ve Vh Широта Долгота Высота Ax Ay Az 
0,45107200742 95920 0 <_____> 1517,05 <Интегр-Навиг> 63,0584 0,599734 -1,09471 -0,05212 0,0957054 0 55,76380907400 37,72255322311 169,61505126953 -0,224108 9,82402 -0,0841427
0,67660802603 98130 0 <_____> 1520,09 <Интегр-Навиг> 63,0622 0,56289 -1,07333 -0,44558 0,304557 0 55,76380774728 37,72255435641 169,40313720703 -0,186346 9,77914 -0,199878
0,90214401484 99494 0 <_____> 1520,89 <Интегр-Навиг> 63,0856 0,655249 -1,04117 -0,407637 0,278233 0 55,76380709351 37,72255532496 169,25959777832 -0,224982 9,86437 -0,212186
1,12768006325 100809 0 <_____> 1522,11 <Интегр-Навиг> 63,0992 0,67205 -1,03607 -0,741688 0,449172 0 55,76380598660 37,72255715571 169,13539123535 -0,391851 9,8191 0,0717295
1,35321605206 101444 0 <_____> 1522,11 <Интегр-Навиг> 63,1052 0,652775 -1,02694 -1,23551 0,703343 0 55,76380443738 37,72255875924 169,08230590820 -0,21578 9,857 0,256192
1,57875204086 101926 0,81193 <_____> 1521,7 <Интегр-Навиг> 63,1076 0,540796 -1,0173 -1,2677 0,76748 0 55,76380305568 37,72256055409 169,01332092285 -0,137329 9,7212 -0,405389
1,80428802967 102418 0,81193 <_____> 1522,11 <Интегр-Навиг> 63,083 0,602325 -0,995943 -1,31687 0,741236 0 55,76380148395 37,72256214348 168,97094726563 -0,0950005 9,6588 0,0547827
2,02982401848 102877 0,81193 <_____> 1521,9 <Интегр-Навиг> 63,0352 0,559011 -0,986281 -1,40974 0,792144 0 55,76380050839 37,72256267828 168,90327453613 0,0268456 10,0712 0,00741333
2,25536012650 103302 0 <_____> 1521,3 <Интегр-Навиг> 62,9846 0,550442 -0,973115 -1,5391 0,861664 0 55,76379893997 37,72256423533 168,86607360840 -0,209332 9,94315 -0,0326487
2,48089599609 103696 0,81193 <_____> 1521,3 <Интегр-Навиг> 62,9453 0,481799 -0,955113 -1,62295 0,903071 0 55,76379766819 37,72256489029 168,81533813477 -0,117172 9,77818 -0,116952
2,70643210411 104075 0,81193 <_____> 1521,5 <Интегр-Навиг> 62,8987 0,497011 -0,950504 -1,69422 0,941648 0 55,76379609666 37,72256643626 168,78193664551 -0,136354 9,74427 0,144953
2,93196797371 104441 1,62386 <_____> 1522,11 <Интегр-Навиг> 62,8635 0,479019 -0,944712 -1,70617 0,948115 0 55,76379452616 37,72256798059 168,74935913086 -0,121548 9,74603 0,0363642
3,15750408173 104823 0,811929 <_____> 1522,11 <Интегр-Навиг> 62,8388 0,446072 -0,92761 -1,58797 0,881543 0 55,76379335391 37,72256864982 168,71298217773 -0,206379 9,78117 -0,0246109
3,38303995132 105225 0,81193 <_____> 1522,11 <Интегр-Навиг> 62,8212 0,453545 -0,917296 -1,57965 0,879167 0 55,76379177232 37,72257022013 168,67701721191 -0,302594 9,80567 -0,0990748
3,60857605934 105626 0,811929 <_____> 1522,11 <Интегр-Навиг> 62,8149 0,461821 -0,902459 -1,55396 0,871778 0 55,76379039451 37,72257112576 168,66128540039 -0,0911977 9,90056 0,000805128
3,83411216736 106023 0,81193 <_____> 1521,9 <Интегр-Навиг> 62,8167 0,44783 -0,887934 -1,6185 0,90823 0 55,76378884525 37,72257266274 168,62710571289 -0,208967 9,8679 0,0585676
4,05964803696 106412 0,81193 <_____> 1522,11 <Интегр-Навиг> 62,8283 0,494992 -0,873011 -1,6247 0,901268 0 55,76378725859 37,72257423422 168,59255981445 -0,356619 9,77631 0,0895774
4,28518390656 106795 0,811929 <_____> 1521,7 <Интегр-Навиг> 62,8421 0,4963 -0,849294 -1,66741 0,9229 0 55,76378567375 37,72257532262 168,61340332031 -0,188795 9,62185 0,0328496
4,51072025299 107161 0,811929 <_____> 1521,9 <Интегр-Навиг> 62,854 0,503759 -0,831379 -1,74915 0,963673 0 55,76378410183 37,72257686765 168,58241271973 -0,250017 9,85361 0,063292
4,73625612259 107509 0,811931 <_____> 1522,11 <Интегр-Навиг> 62,8594 0,517121 -0,806177 -1,86402 1,03264 0 55,76378254252 37,72257839647 168,60342407227 -0,0161754 9,83548 -0,097885
4,96179199219 107832 0,811929 <_____> 1522,11 <Интегр-Навиг> 62,8375 0,518508 -0,772398 -2,00695 1,09726 0 55,76378104867 37,72257958745 168,57691955566 -0,0186355 9,90166 -0,0208719
5,18732786179 108141 0,811929 <_____> 1522,31 <Интегр-Навиг> 62,8274 0,498751 -0,730739 -2,05448 1,12219 0 55,76377948973 37,72258110478 168,55181884766 -0,23964 9,73738 0,0794821
5,41286420822 108449 0,811929 <_____> 1522,91 <Интегр-Навиг> 62,7982 0,505681 -0,68607 -2,01802 1,11393 0 55,76377792609 37,72258262213 168,52647399902 -0,0607672 9,83448 -0,114503
5,63840007782 108765 1,62386 <_____> 1523,12 <Интегр-Навиг> 62,7629 0,443954 -0,65764 -1,92483 1,05705 0 55,76377640783 37,72258350435 168,56602478027 -0,252065 9,82652 -0,236274
5,86393594742 109103 0,811929 <_____> 1523,32 <Интегр-Навиг> 62,7247 0,334427 -0,615814 -1,75429 0,973322 0 55,76377486237 37,72258501888 168,53976440430 0,0548614 9,8578 -0,468661
6,08947229385 109503 0,811929 <_____> 1523,52 <Интегр-Навиг> 62,6861 0,373518 -0,566722 -1,36419 0,778886 0 55,76377328886 37,72258658404 168,58757019043 0,115206 9,82952 -0,50362
6,31500816345 110015 0,811931 <_____> 1523,52 <Интегр-Навиг> 62,6511 0,526231 -0,513912 -1,15519 0,669693 0 55,76377224104 37,72258717570 168,54957580566 -0,0888004 9,87237 -0,23484
6,54054403305 110549 0 <_____> 1523,52 <Интегр-Навиг> 62,6194 0,550536 -0,466001 -1,15929 0,668098 0 55,76377070931 37,72258875438 168,50926208496 -0,117645 9,76769 -0,1604
6,76607990265 111095 0,811929 <_____> 1523,52 <Интегр-Навиг> 62,5858 0,535929 -0,416553 -1,09709 0,643562 0 55,76376917163 37,72259034698 168,46716308594 0,00259932 9,83427 0,00642636
6,99161624908 111651 0,811929 <_____> 1523,52 <Интегр-Навиг> 62,5672 0,602184 -0,372431 -1,16876 0,679041 0 55,76376712101 37,72259166341 168,49543762207 -0,031373 9,75189 0,00154902
7,21715211868 112141 0 <_____> 1523,52 <Интегр-Навиг> 62,5515 0,632654 -0,32739 -1,37012 0,784117 0 55,76376558894 37,72259322899 168,45947265625 -0,0624035 9,85003 -0,142132
7,44268798828 112555 0,811929 <_____> 1523,52 <Интегр-Навиг> 62,5584 0,614303 -0,286051 -1,66147 0,929731 0 55,76376403655 37,72259478927 168,42829895020 -0,0532756 9,77806 0,4037
7,66822433472 112913 0,811929 <_____> 1523,52 <Интегр-Навиг> 62,5626 0,615925 -0,243412 -1,78239 0,999808 0 55,76376248093 37,72259633347 168,40071105957 0,0273399 9,61746 0,169825
7,89376020432 113255 0,811929 <_____> 1523,52 <Интегр-Навиг> 62,5662 0,624821 -0,206322 -1,86393 1,04721 0 55,76376092825 37,72259787220 168,37425231934 0,0475699 9,68701 -0,145246
8,11929607391 113587 1,62386 <_____> 1523,52 <Интегр-Навиг> 62,5637 0,598051 -0,181135 -1,88569 1,05165 0 55,76375883050 37,72259858856 168,54779052734 -0,105392 9,92841 -0,0535259
8,34483242035 113918 0,811929 <_____> 1523,52 <Интегр-Навиг> 62,5481 0,618596 -0,159087 -1,90958 1,0633 0 55,76375728560 37,72260011691 168,52677917480 0,130098 9,91537 -0,0632426
8,57036781311 114242 0,811931 <_____> 1523,52 <Интегр-Навиг> 62,5227 0,636404 -0,139038 -1,96984 1,09339 0 55,76375571329 37,72260167545 168,50547790527 -0,236795 9,61915 -0,0231948
