Ïóòü 17.07.24_1_out.csv 17.07.24_2_in.csv 17.07.24_3_out.csv 17.07.24_4_in.csv 17.07.24_5_out.csv 17.07.24_6_in.csv 17.07.24_7_out.csv ÑÊÎ
0,67659 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0
0,90212 0,00121235 0,00125549 0,00109969 0,00127638 0,00126906 0,00122458 0,00122458 5,523e-05
1,12765 0,00263956 0,00272584 0,00241424 0,00276763 0,00275298 0,00266402 0,00266402 0,00011046
1,35318 0,00406194 0,00419136 0,00372396 0,00425404 0,00423207 0,00409863 0,00409863 0,00016568
1,57871 0,00522597 0,00539853 0,00477532 0,0054821 0,00545281 0,00527489 0,00527489 0,00022091
1,80424 0,0062907 0,00650639 0,00572738 0,00661086 0,00657424 0,00635184 0,00635184 0,00027614
2,02977 0,00739129 0,00765013 0,00671532 0,00777549 0,00773154 0,00746467 0,00746467 0,00033137
2,2553 0,0083898 0,00869177 0,00760116 0,00883802 0,00878675 0,0084754 0,0084754 0,00038659
2,48083 0,00923632 0,00958143 0,00833502 0,00974858 0,00968999 0,00933416 0,00933416 0,00044182
2,70636 0,00997767 0,01036592 0,00896371 0,01055396 0,01048804 0,01008773 0,01008773 0,00049705
2,93189 0,01071357 0,01114496 0,00958695 0,01135389 0,01128065 0,01083586 0,01083586 0,00055228
3,15742 0,0113492 0,01182373 0,01010992 0,01205356 0,01197299 0,01148373 0,01148373 0,00060751
3,38295 0,01193467 0,01245234 0,01058272 0,01270306 0,01261517 0,01208142 0,01208142 0,00066273
3,60848 0,01255115 0,01311196 0,01108654 0,01338357 0,01328836 0,01271013 0,01271013 0,00071796
3,83401 0,01315635 0,0137603 0,01157908 0,0140528 0,01395027 0,01332756 0,01332756 0,00077319
4,05954 0,01382682 0,0144739 0,01213689 0,0147873 0,01467744 0,01401026 0,01401026 0,00082842
4,28507 0,01459272 0,01528294 0,01279012 0,01561724 0,01550005 0,01478839 0,01478839 0,00088364
4,5106 0,01537586 0,01610922 0,0134606 0,01646441 0,0163399 0,01558376 0,01558376 0,00093887
4,73613 0,01619999 0,01697649 0,01417206 0,01735257 0,01722073 0,01642011 0,01642011 0,0009941
4,96166 0,01705318 0,01787281 0,01491259 0,01826979 0,01813063 0,01728553 0,01728553 0,00104933
5,18719 0,0178702 0,01873298 0,01561696 0,01915085 0,01900437 0,01811479 0,01811479 0,00110455
5,41272 0,01866204 0,01956796 0,01629613 0,02000672 0,01985291 0,01891886 0,01891886 0,00115978
5,63825 0,01934619 0,02038048 0,01691023 0,02079751 0,02063638 0,01965785 0,01965785 0,00121997
5,86378 0,01969315 0,02103349 0,01727599 0,02133996 0,02117151 0,0201485 0,0201485 0,00129287
6,08931 0,01990113 0,02176603 0,01761201 0,02185268 0,02167691 0,02060942 0,02060942 0,00138878
6,31484 0,02048661 0,02250762 0,01814132 0,02255868 0,02237559 0,02126361 0,02126361 0,0014543
6,54037 0,02142073 0,02316747 0,01880407 0,02339813 0,02320771 0,02205126 0,02205126 0,00147985
6,7659 0,02237387 0,02384403 0,01948469 0,02425545 0,0240577 0,02285677 0,02285677 0,0015103
6,99143 0,02342859 0,02470911 0,02031036 0,02525781 0,02505273 0,02380733 0,02380733 0,00155055
7,21696 0,0246738 0,02541584 0,0211521 0,02627624 0,02606385 0,02477396 0,02477396 0,00157882
7,44249 0,02594292 0,02607393 0,02198147 0,0272823 0,02706259 0,02572822 0,02572822 0,00162071
7,66802 0,02717906 0,02694551 0,0229011 0,02837863 0,02815159 0,02677274 0,02677274 0,0016755
7,89355 0,02843596 0,02780498 0,02382505 0,02947928 0,02924491 0,02782159 0,02782159 0,00173656
8,11908 0,02965766 0,02895438 0,02487637 0,03070729 0,0304656 0,0289978 0,0289978 0,00179224
8,34461 0,03086702 0,02989216 0,0258157 0,03182332 0,0315743 0,03006202 0,03006202 0,00185476
8,57014 0,03215206 0,030934 0,02684492 0,03302923 0,03277289 0,03121613 0,03121613 0,00191821
8,79567 0,03331563 0,03210423 0,02787758 0,03423859 0,03397492 0,03237368 0,03237368 0,00197116
9,0212 0,03432808 0,03294466 0,02866979 0,03520749 0,0349365 0,03329078 0,03329078 0,00203232
9,24673 0,03528994 0,03386498 0,02947665 0,03619105 0,03591273 0,03422254 0,03422254 0,00208745
9,47226 0,03614407 0,03475723 0,03021561 0,0371067 0,03682106 0,03508639 0,03508639 0,00213879
9,69779 0,03696173 0,03556782 0,0308955 0,03796328 0,03767032 0,03589117 0,03589117 0,00219232
9,92332 0,03775913 0,03649626 0,03162419 0,03886866 0,03856838 0,03674475 0,03674475 0,00224002
10,14885 0,03857866 0,03727347 0,03228833 0,0397095 0,03940189 0,03753378 0,03753378 0,00229512
10,37438 0,03943219 0,03773823 0,03363402 0,04041111 0,04009618 0,03818359 0,03818359 0,00210624
10,59991 0,04002636 0,03853236 0,03429386 0,04119352 0,04087126 0,03891419 0,03891419 0,00212934
10,82544 0,04029843 0,03936243 0,03459785 0,04186805 0,04153847 0,03953692 0,03953692 0,00221827
11,05097 0,04068935 0,03998463 0,03523297 0,0423943 0,04205739 0,04001137 0,04001137 0,00217601
11,2765 0,04130363 0,04063935 0,03600418 0,0431162 0,04277198 0,04068147 0,04068147 0,00215598
11,50203 0,0419448 0,04124768 0,03642623 0,04387698 0,04352543 0,04139045 0,04139045 0,00225868
11,72756 0,0423613 0,04199612 0,03715933 0,04449319 0,04413431 0,04195485 0,04195485 0,00221481
11,95309 0,0429843 0,04296504 0,03832223 0,0453554 0,0449892 0,04276526 0,04276526 0,00211775
12,17862 0,04400992 0,04375405 0,03948215 0,04643512 0,04606159 0,04379317 0,04379317 0,00209328
12,40415 0,044985 0,04453254 0,04067885 0,04749349 0,04711264 0,04479974 0,04479974 0,00205638
12,62968 0,04590899 0,04560233 0,04185353 0,04864419 0,04825602 0,04589864 0,04589864 0,00205151
12,85521 0,04681303 0,04664048 0,04284853 0,04977035 0,04937486 0,046973 0,046973 0,00209397
13,08074 0,04771175 0,04776443 0,043619 0,05086345 0,05046063 0,04801429 0,04801429 0,0021895
13,30627 0,04867487 0,04892853 0,04438224 0,05191655 0,0515064 0,04901559 0,04901559 0,00227394
13,5318 0,04965977 0,04999994 0,04521741 0,05294361 0,05252614 0,04999085 0,04999085 0,00233054
13,75733 0,0506188 0,0512628 0,04583309 0,05404983 0,05362504 0,05104527 0,05104527 0,00248063
13,98286 0,05150263 0,05234261 0,04661535 0,05499682 0,0545647 0,05194045 0,05194045 0,00253331
14,20839 0,05237305 0,0536106 0,04768801 0,05605758 0,05561814 0,0529494 0,0529494 0,00254061
