Путь 17.07.24_1_out.csv 17.07.24_2_in.csv 17.07.24_3_out.csv 17.07.24_4_in.csv 17.07.24_5_out.csv 17.07.24_6_in.csv 17.07.24_7_out.csv Среднеквадратичное отклонение
1,000 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0
2,000 0,0354872 0,03760422 0,03731239 0,03753322 0,03870071 0,03713557 0,03703216 0,00088493
3,000 0,0522597 0,05500904 0,05434677 0,05486995 0,05620318 0,05461217 0,05462168 0,0010916
4,000 0,06792075 0,0711446 0,06999655 0,07111375 0,07243093 0,07092562 0,07099909 0,00129311
5,000 0,08161642 0,08550916 0,08385076 0,08550042 0,08736673 0,08549793 0,08574635 0,00167692
6,000 0,09218789 0,09654616 0,09445172 0,09676889 0,09947526 0,09726109 0,0974438 0,00216861
7,000 0,09897407 0,10400126 0,10133796 0,10450695 0,10824267 0,10545502 0,10579955 0,00282703
8,000 0,10258479 0,10849841 0,10501579 0,10895052 0,11349766 0,11035324 0,11053147 0,00337786
9,000 0,10505269 0,11155652 0,10732456 0,11195135 0,11644293 0,11349364 0,11343024 0,00360792
10,000 0,10774804 0,11508358 0,11014675 0,11528522 0,11912086 0,11662052 0,11615713 0,00366131
11,000 0,11193461 0,11985257 0,11408777 0,11988599 0,12257337 0,12080566 0,11968892 0,00357731
12,000 0,11810428 0,1264017 0,12012437 0,12633129 0,12785729 0,12676569 0,12508408 0,00345726
13,000 0,12574356 0,13465384 0,12784911 0,13431108 0,13513815 0,13439909 0,13224925 0,00347246
14,000 0,1347352 0,14406841 0,13673125 0,14404615 0,14372587 0,1435104 0,14106145 0,0035815
15,000 0,14445623 0,15436256 0,14645414 0,15425473 0,15329585 0,15351046 0,15113598 0,00372148
16,000 0,15434779 0,1650691 0,15664334 0,16437077 0,16274815 0,16325001 0,16009902 0,0037806
17,000 0,16368437 0,17396751 0,16522782 0,17332835 0,1718126 0,17235631 0,17030615 0,00374823
18,000 0,17036659 0,18091823 0,17189713 0,18045756 0,18023533 0,17988814 0,17797073 0,00407136
19,000 0,17388594 0,18487978 0,17559183 0,18454004 0,18513357 0,18431592 0,18291986 0,00441765
20,000 0,17488726 0,18626764 0,17680048 0,18609641 0,18753938 0,18602696 0,18508396 0,00475415
21,000 0,17511951 0,18701729 0,17715573 0,18671874 0,1883217 0,18670261 0,18552852 0,00493133
22,000 0,17619335 0,18854869 0,17803651 0,18799383 0,18878186 0,18782688 0,18627502 0,00494635
23,000 0,18011748 0,1927132 0,18182984 0,19152195 0,19144421 0,19134517 0,18901067 0,00475599
24,000 0,18707195 0,20003085 0,18876092 0,1982171 0,19740945 0,19780884 0,19515006 0,00464625
25,000 0,19705951 0,20996717 0,19857103 0,20793942 0,20597521 0,20729358 0,20418223 0,00450836
26,000 0,20878095 0,22193668 0,20999887 0,21950941 0,21727303 0,21861137 0,21532519 0,00454404
27,000 0,22179085 0,23473573 0,22260612 0,23206786 0,22979297 0,23120315 0,22807566 0,00447913
28,000 0,23521536 0,24816347 0,23601873 0,24511991 0,24298464 0,24444111 0,24127851 0,00442221
29,000 0,2484857 0,26134469 0,24921172 0,25808022 0,25667621 0,25774455 0,25489856 0,00440355
30,000 0,26090082 0,27403547 0,26146433 0,2704041 0,26965425 0,27052426 0,26788079 0,00453964
31,000 0,27321041 0,28611696 0,27333709 0,28247051 0,28198012 0,28289506 0,28026858 0,00457285
32,000 0,28509476 0,29831027 0,28508192 0,29440385 0,29392542 0,29500393 0,29230152 0,0046898
33,000 0,29671412 0,30980536 0,2964091 0,30615222 0,30558042 0,3069247 0,30416473 0,00477188
34,000 0,30783343 0,32102048 0,30742177 0,31759106 0,31668805 0,31840826 0,31550983 0,00487611
35,000 0,3192859 0,33243749 0,31874496 0,32926821 0,32804199 0,33004981 0,32649911 0,00492636
36,000 0,33185916 0,34533879 0,33103232 0,34218822 0,34028576 0,34283136 0,33907766 0,00508693
37,000 0,34613994 0,35958153 0,34529058 0,35646023 0,35357114 0,35700359 0,35275134 0,00504545
38,000 0,36173659 0,3754456 0,36070969 0,37249072 0,36871564 0,37250084 0,36834519 0,00516373
39,000 0,37901239 0,39277901 0,37762552 0,39001559 0,38529312 0,38936337 0,385251 0,00524269
40,000 0,39679523 0,41065161 0,39560291 0,40826452 0,40328189 0,40725182 0,40316442 0,0052829
41,000 0,414875 0,42831672 0,41302478 0,42631478 0,42118025 0,42502667 0,42102286 0,00531922
42,000 0,43164226 0,44507511 0,42960054 0,44332304 0,43849231 0,4420613 0,43803998 0,00541675
43,000 0,44661348 0,46001458 0,44411955 0,45849451 0,45436352 0,45743686 0,45388453 0,00559551
