Путь 17.07.24_1_out.csv 17.07.24_2_in.csv 17.07.24_3_out.csv 17.07.24_4_in.csv 17.07.24_5_out.csv 17.07.24_6_in.csv 17.07.24_7_out.csv Среднеквадратичное отклонение
1,000 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0
2,000 0,03542424 0,03754125 0,03724942 0,03747026 0,03851862 0,03707261 0,0369692 0,00085775
3,000 0,05213377 0,05488311 0,05422084 0,05474402 0,05583901 0,05448624 0,05449575 0,00104246
4,000 0,06773185 0,07095571 0,06980766 0,07092486 0,07188467 0,07073673 0,07081019 0,00122706
5,000 0,08136456 0,0852573 0,0835989 0,08524856 0,08663839 0,08524607 0,08549448 0,00158725
6,000 0,09187307 0,09623134 0,09413689 0,09645406 0,09856483 0,09694626 0,09712898 0,00205105
7,000 0,09859628 0,10362347 0,10096017 0,10412916 0,10715016 0,10507723 0,10542176 0,00268282
8,000 0,10214404 0,10805765 0,10457503 0,10850977 0,11222307 0,10991248 0,11009071 0,00320969
9,000 0,10454896 0,11105279 0,10682084 0,11144763 0,11498624 0,11298992 0,11292652 0,00342548
10,000 0,10718136 0,1145169 0,10958007 0,11471853 0,11748209 0,11605384 0,11559045 0,00347447
11,000 0,11130495 0,11922292 0,11345812 0,11925634 0,12075252 0,12017601 0,11905927 0,00339882
12,000 0,11741166 0,12570908 0,11943176 0,12563867 0,12585435 0,12607308 0,12439146 0,00329569
13,000 0,12498798 0,13389826 0,12709353 0,1335555 0,13295312 0,1336435 0,13149367 0,00332364
14,000 0,13391665 0,14324986 0,1359127 0,1432276 0,14135876 0,14269185 0,14024291 0,00345981
15,000 0,14357472 0,15348104 0,14557263 0,15337322 0,15074666 0,15262895 0,15025447 0,00362326
16,000 0,15340331 0,16412462 0,15569886 0,1634263 0,16001687 0,16230553 0,15915454 0,00370905
17,000 0,16267693 0,17296007 0,16422038 0,17232091 0,16889924 0,17134887 0,16929871 0,00368241
18,000 0,16929618 0,17984782 0,17082673 0,17938715 0,17713988 0,17881774 0,17690033 0,00392838
19,000 0,17275257 0,18374641 0,17445845 0,18340667 0,18185604 0,18318255 0,18178649 0,00423317
20,000 0,17369092 0,1850713 0,17560414 0,18490008 0,18407976 0,18483062 0,18388763 0,00452228
21,000 0,1738602 0,18575799 0,17589643 0,18545943 0,18468 0,1854433 0,18426922 0,00468312
22,000 0,17487108 0,18722642 0,17671424 0,18667156 0,18495807 0,18650461 0,18495275 0,00473207
23,000 0,17873224 0,19132797 0,18044461 0,19013672 0,18743833 0,18995994 0,18762544 0,00459278
24,000 0,18562375 0,19858265 0,18731272 0,1967689 0,19322148 0,19636064 0,19370186 0,00453421
25,000 0,19554834 0,208456 0,19705986 0,20642825 0,20160516 0,20578241 0,20267106 0,00447899
26,000 0,20720682 0,22036255 0,20842474 0,21793528 0,2127209 0,21703724 0,21375106 0,00453679
27,000 0,22015376 0,23309864 0,22096903 0,23043077 0,22505875 0,22956606 0,22643857 0,0044934
28,000 0,2335153 0,24646341 0,23431867 0,24341985 0,23806833 0,24274105 0,23957845 0,00445147
29,000 0,24672268 0,25958167 0,2474487 0,2563172 0,25157782 0,25598153 0,25313553 0,00439913
30,000 0,25907483 0,27220948 0,25963834 0,26857811 0,26437378 0,26869827 0,2660548 0,00450296
31,000 0,27132146 0,284228 0,27144813 0,28058156 0,27651756 0,28100611 0,27837963 0,00452699
32,000 0,28314285 0,29635835 0,28313 0,29245193 0,28828078 0,29305201 0,2903496 0,00465305
33,000 0,29469924 0,30779047 0,29439421 0,30413734 0,29975369 0,30490982 0,30214984 0,00474119
34,000 0,30575558 0,31894263 0,30534392 0,31551321 0,31067924 0,31633041 0,31343198 0,00486704
35,000 0,31714509 0,33029668 0,31660415 0,32712739 0,32185109 0,32790899 0,32435829 0,00492944
36,000 0,32965538 0,34313501 0,32882854 0,33998444 0,33391277 0,34062758 0,33687388 0,00513886
37,000 0,3438732 0,35731479 0,34302384 0,35419349 0,34701607 0,35473684 0,3504846 0,00519359
38,000 0,35940688 0,37311589 0,35837998 0,37016101 0,36197849 0,37017113 0,36601548 0,00537132
39,000 0,37661972 0,39038633 0,37523285 0,38762292 0,37837388 0,38697069 0,38285833 0,00551521
40,000 0,39433959 0,40819597 0,39314726 0,40580888 0,39618056 0,40479618 0,40070878 0,00556223
41,000 0,41235639 0,42579811 0,41050617 0,42379617 0,41389683 0,42250807 0,41850426 0,00560051
42,000 0,42906069 0,44249354 0,42701897 0,44074147 0,43102681 0,43947973 0,43545841 0,00565866
43,000 0,44396894 0,45737005 0,44147501 0,45584997 0,44671593 0,45479233 0,45123999 0,00576434
44,000 0,45547791 0,46937452 0,45328223 0,46893724 0,46003785 0,46681511 0,46428538 0,00598536
45,000 0,46719643 0,48089892 0,46434365 0,48058417 0,47137109 0,47854887 0,4758081 0,00610938
46,000 0,48042977 0,49404997 0,47787843 0,4936705 0,48422444 0,49177007 0,48881879 0,00602197
47,000 0,49473223 0,50808879 0,49205918 0,50787299 0,49787296 0,50571326 0,50287599 0,00599432
48,000 0,50991881 0,52312986 0,50715251 0,5228357 0,51261681 0,52025264 0,51773886 0,00591594
49,000 0,52564062 0,53857125 0,52324434 0,53845135 0,52802321 0,53564151 0,53328236 0,0057624
50,000 0,54162614 0,55401006 0,53930572 0,55420818 0,5437497 0,55119207 0,54923835 0,00560164
51,000 0,55637843 0,56836889 0,55391508 0,56883415 0,55915511 0,56581873 0,56439127 0,00549624
52,000 0,57007622 0,58197118 0,56727121 0,58252952 0,57359719 0,57962915 0,57877103 0,00555118
53,000 0,58274298 0,59442718 0,57970932 0,59510669 0,58670103 0,59218965 0,59192332 0,00555765
54,000 0,59439888 0,60572625 0,59148404 0,60651848 0,59857476 0,60354127 0,60402096 0,00544212
55,000 0,6059753 0,6167141 0,60284539 0,61741862 0,60980634 0,61428402 0,61509205 0,00522058
56,000 0,61828008 0,6288481 0,61500038 0,6294533 0,62131043 0,62575939 0,62709236 0,00515638
57,000 0,63228941 0,64241507 0,62903435 0,64279206 0,63404501 0,63872232 0,64050499 0,00496276
58,000 0,64774472 0,65778005 0,64457556 0,65798242 0,64918613 0,65356222 0,65535832 0,00483115
59,000 0,66609258 0,6757164 0,66307078 0,67592793 0,66622648 0,67081649 0,67293388 0,00469841
60,000 0,6882884 0,69779394 0,68489592 0,69742786 0,68623984 0,69142584 0,69378413 0,00480349
61,000 0,71412459 0,72356429 0,71056439 0,72303479 0,71021112 0,71623683 0,71860968 0,00503487
62,000 0,74411326 0,75365517 0,74031773 0,75252333 0,73843035 0,74530082 0,74720009 0,00529423
63,000 0,77751693 0,78697089 0,77325932 0,78550929 0,77024159 0,77794072 0,77956958 0,0055889
64,000 0,81250609 0,82189491 0,80816781 0,81998076 0,8046345 0,8125757 0,81435086 0,00563216
65,000 0,84686137 0,85622072 0,84234506 0,85430712 0,83911694 0,84703116 0,8487349 0,00561566
66,000 0,88005049 0,88919446 0,87536138 0,88739802 0,87268657 0,8802672 0,88220104 0,00550154
67,000 0,91188256 0,92122786 0,90713004 0,9192661 0,90534635 0,91246791 0,91494345 0,00541264
68,000 0,9425801 0,95193732 0,9374898 0,94995168 0,93674766 0,94340448 0,94603493 0,00534404
69,000 0,97211389 0,98166391 0,96715702 0,97962902 0,96674775 0,9730706 0,97596964 0,00531515
70,000 1,001519 1,01089494 0,9960746 1,00875035 0,99606432 1,00219734 1,0052405 0,00533599
71,000 1,03060931 1,03994118 1,02482667 1,03766895 1,02479622 1,03110207 1,03435727 0,00543504
72,000 1,05991662 1,06876504 1,05395785 1,06676758 1,05366088 1,06003345 1,06361716 0,0054243
