Путь 17.07.24_1_out.csv 17.07.24_2_in.csv 17.07.24_3_out.csv 17.07.24_4_in.csv 17.07.24_5_out.csv 17.07.24_6_in.csv 17.07.24_7_out.csv
1,000 0,6953219 1,02959277 0,75025519 0,83207595 0,52908261 0,58552058 0,58384901
2,000 0,56014413 0,85680586 0,54305294 0,83028825 0,46469375 0,55919072 0,44488034
3,000 0,47359178 0,74110502 0,57923422 0,6741645 0,33205567 0,5677995 0,22513957
4,000 0,49464607 0,71648175 0,4453273 0,68295776 0,37848192 0,44045558 0,23852035
5,000 0,51874297 0,68274463 0,46952925 0,80594971 0,36595111 0,52288925 0,18404413
6,000 0,31293525 0,76297598 0,5809254 0,68730327 0,47461924 0,51058889 0,34232841
7,000 0,60464686 0,83115447 0,63703823 0,84939334 0,48521905 0,60586894 0,37423535
8,000 0,62901151 0,86034583 0,66964253 0,73524567 0,42685761 0,47613868 0,33539523
9,000 0,56238434 0,80189329 0,63081417 0,6532978 0,48955699 0,58395358 0,36247536
10,000 0,48862805 0,79558843 0,51322079 0,73184877 0,5154983 0,44527942 0,36326818
11,000 0,45038414 0,7398284 0,29246266 0,63644212 0,40880842 0,39895944 0,11073313
12,000 0,61713582 0,81002899 0,60751751 0,63836357 0,38296945 0,37597708 0,29781534
13,000 0,50765836 0,86889199 0,56940475 0,74533679 0,43393477 0,62878066 0,3743437
14,000 0,49214325 0,77857786 0,41698358 0,90366968 0,3269775 0,5516745 0,31912064
15,000 0,5939552 0,98505114 0,52944286 0,93699741 0,43597426 0,70707014 0,20510756
16,000 0,44361582 0,79506754 0,47411614 0,56613043 0,43867714 0,75865501 0,36006042
17,000 0,21997172 0,38372179 0,13923553 0,40431899 0,15262846 0,26098465 -0,12106856
18,000 0,36010045 0,43288197 0,36000323 0,59124661 0,238316 0,24185854 -0,07967651
19,000 0,39992883 0,61458121 0,30398699 0,44777208 0,16059663 0,33719603 0,25293792
20,000 0,46274853 0,54508073 0,54624045 0,48199289 0,05403404 0,3212317 0,28013047
21,000 0,40799719 0,70846388 0,43893821 0,59454314 0,22811289 0,34261025 0,23019375
22,000 0,48261825 0,75872714 0,4565313 0,51818503 0,08313323 0,39739645 0,35323921
23,000 0,44474398 0,67574104 0,41826556 0,62364418 0,21408714 0,31884729 0,29779534
24,000 0,47437692 0,69587737 0,56078615 0,64735563 0,13014538 0,45063319 -0,0157117
25,000 0,40467091 0,67579506 0,4369451 0,53705821 0,29531402 0,47123024 0,00670246
26,000 0,35057467 0,72064565 0,47815812 0,65194597 0,20449943 0,51442122 0,13268504
27,000 0,50877501 0,61785271 0,41594156 0,55849556 0,25888061 0,40665145 0,15372459
28,000 0,48003138 0,85073154 0,52244748 0,61959128 0,23768438 0,52679278 0,17405571
29,000 0,66573452 0,80260396 0,54535722 0,58323539 0,24304049 0,46071528 0,07982718
30,000 0,47199183 0,71277275 0,54802821 0,6751595 0,25891958 0,54754234 0,14046916
31,000 0,45168353 0,6629798 0,43687298 0,55704104 0,1635677 0,53678562 0,26812694
32,000 0,45745344 0,80357369 0,54388821 0,57789991 0,25882677 0,50476074 0,2337219
33,000 0,35446258 0,58044032 0,44607415 0,55272616 0,2772792 0,49688867 0,23763028
34,000 0,46137969 0,71161852 0,50255769 0,66727567 0,33857895 0,521737 0,25441983
35,000 0,43620046 0,59267701 0,44532978 0,56983246 0,24368238 0,42239998 0,0520726
36,000 0,33454299 0,61174274 0,36415774 0,48459661 0,24348629 0,38071965 0,29902466
37,000 0,38714582 0,39603917 0,47053825 0,46731366 0,34312892 0,33822377 0,07382689
38,000 0,49451923 0,62732818 0,46789913 0,69882872 0,23208515 0,40777819 0,08850752
39,000 0,72141995 0,87819374 0,5884695 0,78797375 0,34808584 0,5734631 0,40370935
40,000 0,79500962 1,19993384 1,02223146 1,05221063 0,68247351 0,87870871 0,64348228
41,000 1,01855118 1,2794101 0,8693597 1,30861723 0,94331674 1,13621117 0,94730577
42,000 1,05654195 1,44388973 1,31987727 1,35780541 1,06010394 1,15032466 0,91974985
43,000 0,90904863 1,43039519 1,22737867 1,37443937 1,11313272 1,03671884 0,78960622
44,000 1,07618037 1,31698504 1,03713352 1,22518529 0,94524054 1,22866167 0,9923002
45,000 -0,22375401 0,35615699 -0,32077692 0,20671958 0,25550662 0,02613651 -0,34242708
46,000 -0,17313873 0,17486734 -0,28426987 -0,10038034 -0,36154812 -0,35860479 -0,44461534
47,000 -0,284731 0,12195969 -0,38900441 0,00889445 -0,44863196 -0,41929359 -0,60455225
48,000 -0,40528994 -0,343731 -0,3621227 -0,084693 -0,61573744 -0,48240932 -0,59726326
49,000 -0,34772857 -0,04687523 -0,34036555 -0,04608637 -0,55244548 -0,49054017 -0,71873288
50,000 -0,02147575 0,12687946 -0,02575798 0,16649056 -0,41695505 -0,25419681 -0,48095505
51,000 0,32766527 0,58765708 0,3346565 0,47634642 -0,06892854 0,08046007 -0,1320634
52,000 0,36370942 0,63328657 0,36335936 0,51538663 0,20022015 0,29502396 0,26393489
53,000 0,43453595 0,86657056 0,42761801 0,700526 0,27101544 0,38567022 0,26931262
54,000 0,22904653 0,56300221 0,47003871 0,58322454 0,26987109 0,36702033 -0,0604176
55,000 0,36769778 0,68142883 0,33710126 0,50031818 0,23140393 0,26785383 0,2113287
56,000 0,12783029 0,43614751 0,27645029 0,3867842 -0,03116582 0,17553794 -0,04158467
57,000 0,36352676 0,56386747 0,32591604 0,55377152 0,05723382 0,19091473 -0,04408295
58,000 0,26362379 0,44188517 0,18590541 0,5073621 0,03500872 0,11646979 -0,11181849
59,000 0,12330985 0,28247936 -0,05982269 0,3389963 0,01143516 -0,00982748 -0,11625806
60,000 -0,02219265 0,10390747 0,01030811 0,17319707 -0,17947812 -0,11441777 -0,26740774
61,000 -0,12433852 0,23941902 -0,05086839 0,12292506 -0,30598297 -0,16243001 -0,16975138
62,000 -0,12924923 0,17190842 -0,14198344 -0,01462643 -0,34672899 -0,23126544 -0,45518346
63,000 0,00334958 0,25592878 -0,05720649 0,19963576 -0,26639002 -0,1810048 -0,44006368
64,000 0,13250896 0,32473707 0,12344245 0,42961589 -0,18487068 -0,01782706 -0,26420292
65,000 0,15464863 0,45837905 0,22330833 0,44858975 -0,08386028 0,11371744 -0,17590297
66,000 0,2927286 0,60494173 0,33315513 0,50851516 0,22134669 0,20055542 -0,04395054
67,000 0,27271171 0,61743373 0,37309313 0,5829671 0,10730661 0,22419483 0,0206608
68,000 0,27952069 0,70480639 0,36121266 0,56076432 0,2196406 0,2895478 -0,03854094
69,000 0,27068831 0,76376502 0,49799556 0,73846902 0,26122379 0,34396856 0,26387685
70,000 0,37372072 0,85992401 0,4027851 0,61726189 0,23505969 0,346134 0,3017905
71,000 0,32565997 0,79385439 0,40328494 0,47680853 0,16834003 0,27585073 0,08296174
72,000 0,23121676 0,53827131 0,2767387 0,47300981 0,17800079 0,18619949 -0,00768428
73,000 0,26382508 0,49340927 0,09650675 0,44649531 -0,01183071 0,1305553 -0,01323129
74,000 -0,16800029 0,30303668 -0,12156786 0,12191709 -0,10738473 -0,1321844 -0,23290045
75,000 0,03174981 0,26921489 -0,21737936 0,11427911 -0,19548048 -0,1944944 -0,35741443
76,000 0,00410785 0,48844184 -0,05658857 0,24331372 -0,25214728 -0,12393706 -0,29685923
77,000 0,19917925 0,6208746 0,03170655 0,33475392 -0,04486723 0,0563782 -0,25071425
78,000 0,42724048 0,44519902 0,33046291 0,52829605 0,07002047 0,28811203 0,08373872
79,000 0,60858958 1,08733042 0,50798402 0,82689381 0,33686667 0,51686367 0,23066471
80,000 0,72336385 1,07152775 0,81717853 1,00100736 0,65792557 0,68057523 0,50168295
81,000 0,81776202 1,03813195 0,76452009 1,1086048 0,54657464 0,72858875 0,50680668
82,000 0,86532915 1,03499061 0,84629125 1,03215625 0,66870421 0,61736181 0,55218583
83,000 0,81001256 0,97547719 0,810934 1,15492505 0,59652203 0,50046526 0,48163995
84,000 0,48169263 0,77847988 0,64436608 0,76415915 0,40805041 0,5365536 0,40527072
85,000 0,2945957 0,60694891 0,23617463 0,42617963 0,18803799 0,25199023 0,32385929
86,000 0,26737552 0,42615219 0,25947656 0,38980789 -0,30373542 0,18300371 0,04686907
87,000 0,48872505 0,73298621 0,58460194 0,71027277 0,24765056 0,43792831 0,20930324
88,000 0,59947996 0,79277633 0,71185744 0,83134834 0,36270154 0,63474418 0,32741823
89,000 0,2227297 0,51362173 0,58535239 0,77877348 0,29317142 0,49403089 0,4135576
90,000 0,24985155 0,59943228 0,13548789 0,54075612 0,32564742 0,30053043 0,03390536
91,000 0,19139805 0,55230323 0,31017087 0,58234805 0,16676067 0,2383507 0,02434818
92,000 0,3999131 0,57239568 0,26359244 0,63242363 0,05128202 0,23244318 0,07428194
93,000 0,26842632 0,57317743 0,34395163 0,59704487 0,15746412 0,2014602 0,03973779
94,000 0,29120745 0,55587877 0,27297762 0,52666929 0,08856942 0,20603994 0,03670708
95,000 0,33209218 0,66841342 0,40927589 0,50901664 0,09789024 0,2627596 -0,12084109
96,000 0,53109461 0,73303008 0,42921333 0,57845874 0,2626494 0,39435308 0,30560431
