Путь 17.07.24_1_out.csv 17.07.24_2_in.csv 17.07.24_3_out.csv 17.07.24_4_in.csv 17.07.24_5_out.csv 17.07.24_6_in.csv 17.07.24_7_out.csv
1,000 63,09575284 62,99360079 63,11654418 63,0779145 63,16757009 63,07140128 63,14717112
2,000 63,04189115 62,93518031 63,07909608 63,01069768 63,18210238 63,02250006 63,16929268
3,000 62,85288206 62,80131498 62,89769485 62,86930346 63,03794403 62,86813436 63,00795152
4,000 62,82465028 62,75938525 62,85174937 62,8312 62,90463473 62,85319921 62,900895
5,000 62,83378992 62,73161935 62,88360096 62,80582846 62,94756303 62,81900076 62,93047764
6,000 62,69998484 62,6072722 62,74717497 62,68672704 62,88678668 62,68374697 62,83835102
7,000 62,56650859 62,5152855 62,61425728 62,56462827 62,70741273 62,56974052 62,68611048
8,000 62,5678958 62,49143679 62,60218763 62,52874258 62,63700182 62,57396867 62,63544052
9,000 62,44144977 62,39557973 62,49113039 62,43038539 62,61847865 62,44874809 62,5923441
10,000 62,32802098 62,30580794 62,36959698 62,35729148 62,43539848 62,37480726 62,42046927
11,000 62,35552735 62,29756825 62,37947716 62,38267699 62,42458124 62,41583175 62,42425438
12,000 62,33302046 62,27951772 62,37420638 62,34642284 62,44567934 62,37283327 62,43606344
13,000 62,23730772 62,21083118 62,26591456 62,23745682 62,37882315 62,2781268 62,33141805
14,000 62,22372419 62,19278304 62,26337361 62,21007654 62,31272785 62,24639634 62,30121895
15,000 62,22104443 62,15104134 62,26525227 62,17665227 62,31020823 62,19349428 62,30248809
16,000 62,19234967 62,07684288 62,23010813 62,11655388 62,31786889 62,12483085 62,2883734
17,000 62,01919131 61,98810658 62,02777409 61,99496704 62,12611943 61,98453237 62,10282638
18,000 61,94923251 62,05624346 61,98719231 62,09359927 62,01247257 62,10210746 62,00103454
19,000 61,96954133 62,07704996 62,00861945 62,10322059 62,05027941 62,13838812 62,0443732
20,000 62,02774676 62,07709874 62,06127048 62,10376912 62,09840794 62,12506709 62,077485
21,000 62,06923457 62,06488509 62,11004535 62,09821078 62,14882039 62,148809 62,14234565
22,000 62,04240065 61,97995699 62,07815508 62,05679104 62,14750032 62,097728 62,14071892
23,000 61,98427263 61,95977306 62,04296369 62,06108135 62,11123468 62,0692903 62,09768441
24,000 61,9895755 61,95936582 62,02826344 61,9819985 62,11481427 62,00124037 62,07497605
25,000 62,00288838 61,89894617 62,03745063 61,94100716 62,0928153 61,92904404 62,08752585
26,000 61,93227261 61,85000204 61,97057129 61,82892286 62,05968234 61,85982867 62,0305516
27,000 61,89600593 61,85200891 61,94375518 61,85933294 61,97503445 61,91915077 61,98901259
28,000 61,92475716 61,89498105 61,96225424 61,92599653 62,00467581 61,95372048 62,00703967
29,000 61,96325826 61,91661104 62,00155917 61,97883496 62,04002756 61,99874083 62,04207204
30,000 61,93065353 61,94101065 61,96145111 62,02873863 62,04944279 62,01972139 62,0244453
31,000 61,92860669 61,95754231 61,96105634 62,03510204 61,99038987 62,01186504 61,99211642
32,000 61,93196947 61,93182466 61,96857455 62,02265585 62,00994746 62,02190457 62,00083588
33,000 61,93382633 61,90324258 61,96790421 62,02571041 62,03287131 62,01689507 61,99701149
34,000 61,93345746 61,93584786 61,96088704 62,00144706 62,02333197 62,01411749 62,00005268
35,000 62,02533254 61,96825344 62,06098752 62,02473485 62,06474928 62,02018741 62,05425789
36,000 62,02309563 61,95657493 62,05681262 62,00097151 62,11582832 62,01804144 62,11825048
37,000 62,0083211 61,95705223 62,04318892 61,97500311 62,09562266 61,98719499 62,09128426
38,000 61,98370121 61,93342105 62,02959879 61,971691 62,09097373 61,98978615 62,07844111
39,000 61,95902273 61,92356638 61,99079782 61,98146557 62,06830303 61,98999478 62,04248475
40,000 61,97751724 61,92374462 62,00694734 61,96801472 62,06182643 61,99733301 62,04576312
41,000 61,97652712 61,9137825 62,0227622 61,93275914 62,09811513 61,97895363 62,07803744
42,000 61,93553648 61,86272939 61,96710413 61,89861461 62,03497887 61,92433057 62,01907474
43,000 61,88177119 61,84723103 61,9105821 61,84494037 62,01598345 61,90099629 61,99636241
44,000 61,74487702 61,80683719 61,80024133 61,87916129 61,92701036 61,8292521 61,90835619
45,000 61,9590456 61,85973864 61,93738066 61,94279807 61,95900485 61,90470157 61,95092576
46,000 61,96771298 61,89699945 62,02066826 61,94692955 62,08033347 61,87622072 62,0406939
47,000 61,95546943 61,89139472 61,96954981 61,94244754 62,05055358 61,88364943 62,04026415
48,000 61,98922633 61,95372624 62,00868906 61,96737645 62,05757898 61,89403949 62,04344227
49,000 61,97601378 61,90269993 62,01888316 61,96374844 62,07276837 61,90176021 62,05419643
50,000 61,9423483 61,8773544 61,96561413 61,96411752 62,01394579 61,91887619 61,99820446
51,000 62,01142413 61,89736782 62,0397075 61,99673089 62,05940548 61,94550822 62,08116672
52,000 61,96392563 61,83696173 61,98741849 61,94813743 62,09682971 61,96127933 62,06494834
53,000 61,95817741 61,86434672 61,98640469 61,93677102 62,0217017 61,93643069 62,00841475
54,000 61,95808446 61,89476783 62,01436046 61,95984296 62,05063763 61,92304149 62,01211649
55,000 61,94828305 61,8799092 61,9902059 61,94504569 62,03560503 61,92891781 62,01784812
56,000 61,9123886 61,86331603 61,94372035 61,91815965 62,01399092 61,93984083 62,0031376
57,000 61,8998189 61,843505 61,94510832 61,91682866 61,97859239 61,95129822 61,9929132
58,000 61,93045775 61,86447598 61,9783156 61,90900638 62,02390193 61,9650771 62,00481378
59,000 61,913415 61,84877439 61,95246038 61,88645993 62,01930192 61,984171 62,01047047
60,000 61,9276091 61,81658103 61,96204201 61,88584075 62,02229294 62,01843698 62,02125955
61,000 61,8905262 61,81056771 61,91320498 61,8415345 62,00568561 62,02357233 61,98363137
62,000 61,9068815 61,84268627 61,93535375 61,86789348 61,9577222 61,98112434 61,98506027
