Путь 17.07.24_1_out.csv 17.07.24_2_in.csv 17.07.24_3_out.csv 17.07.24_4_in.csv 17.07.24_5_out.csv 17.07.24_6_in.csv 17.07.24_7_out.csv
1,000 -1,02721636 -1,11187559 -1,09538715 -1,10630079 -1,12627802 -1,0952053 -1,08917244
2,000 -0,98802202 -1,06428451 -1,03352382 -1,05843963 -1,0843002 -1,0312756 -1,03177162
3,000 -0,94296487 -1,01881981 -0,96706654 -1,00756644 -0,99600894 -1,00010433 -1,00696265
4,000 -0,87928349 -0,94609672 -0,88773502 -0,94494648 -0,92297229 -0,93346143 -0,93751396
5,000 -0,7666755 -0,8446256 -0,78485609 -0,83854075 -0,84894937 -0,83370103 -0,84411307
6,000 -0,58767225 -0,65397041 -0,59845884 -0,65988071 -0,68695844 -0,67274868 -0,66937234
7,000 -0,37079087 -0,44874293 -0,3856212 -0,45760348 -0,49552674 -0,46824712 -0,47790685
8,000 -0,18885057 -0,27926435 -0,20179255 -0,26884315 -0,29427988 -0,27941654 -0,2702761
9,000 -0,12337141 -0,19681373 -0,12335131 -0,1861799 -0,16194216 -0,1787013 -0,16524531
10,000 -0,13640414 -0,2236831 -0,15276837 -0,20526184 -0,14662507 -0,17792636 -0,15539669
11,000 -0,2218438 -0,29483983 -0,2168721 -0,27785012 -0,19100529 -0,23856003 -0,20151386
12,000 -0,33546759 -0,39683424 -0,33694035 -0,38353342 -0,29593746 -0,34025394 -0,30827752
13,000 -0,4196703 -0,49441036 -0,43366331 -0,47145347 -0,41035336 -0,43613052 -0,40969156
14,000 -0,49715412 -0,56101186 -0,49997769 -0,57202377 -0,48523104 -0,52080893 -0,50405952
15,000 -0,53894598 -0,61140811 -0,54814917 -0,59915389 -0,5415106 -0,57173077 -0,57638533
16,000 -0,54871581 -0,63503695 -0,57486662 -0,59385154 -0,53476804 -0,55680445 -0,51270201
17,000 -0,51691824 -0,53143819 -0,48292301 -0,52747649 -0,51254576 -0,52052174 -0,58398288
18,000 -0,36483453 -0,41984381 -0,37319208 -0,42271862 -0,47577738 -0,43031168 -0,43830592
19,000 -0,18361552 -0,24857752 -0,20275874 -0,24815456 -0,27383984 -0,25246218 -0,28272162
20,000 -0,03934257 -0,10111504 -0,06031946 -0,10341856 -0,13103365 -0,09680448 -0,12315146
21,000 0,00472174 -0,06454927 -0,0114228 -0,04990166 -0,03801478 -0,03748119 -0,02462888
22,000 -0,0434983 -0,10933959 -0,04153341 -0,08730245 -0,01955605 -0,06318526 -0,04192836
23,000 -0,20680737 -0,2602058 -0,2084103 -0,2163917 -0,14573226 -0,20035292 -0,1558989
24,000 -0,38043322 -0,4408673 -0,38818999 -0,39784893 -0,33497378 -0,3691101 -0,35091849
25,000 -0,55421652 -0,59090614 -0,55314651 -0,57129313 -0,48397324 -0,54220467 -0,51666266
26,000 -0,65356073 -0,70739954 -0,64583556 -0,67715682 -0,64050823 -0,64723097 -0,63760242
27,000 -0,72738398 -0,75492898 -0,71341089 -0,73379161 -0,71053065 -0,72022559 -0,72970583
28,000 -0,75113913 -0,79094935 -0,75955431 -0,76207227 -0,74901787 -0,75724832 -0,75562477
29,000 -0,74230599 -0,77682553 -0,74697155 -0,75681638 -0,77766034 -0,76100052 -0,77952866
30,000 -0,69330548 -0,74872501 -0,69309091 -0,7203516 -0,73677798 -0,73099245 -0,74298476
31,000 -0,68725915 -0,71381545 -0,67132749 -0,70559969 -0,69941149 -0,70756424 -0,70892587
32,000 -0,66289459 -0,7202221 -0,66399784 -0,69797488 -0,67760623 -0,69255626 -0,6885939
33,000 -0,64771176 -0,68021718 -0,640068 -0,68737746 -0,66097306 -0,68177927 -0,67886933
34,000 -0,61906096 -0,66417646 -0,62204821 -0,66964213 -0,62961153 -0,65672835 -0,64918406
35,000 -0,63814972 -0,67574354 -0,63983965 -0,68329675 -0,64372382 -0,66578107 -0,62879646
36,000 -0,70236616 -0,76078682 -0,6950823 -0,75450713 -0,69470681 -0,73109857 -0,71985577
37,000 -0,80019972 -0,83764615 -0,80800674 -0,8319714 -0,75438731 -0,81077785 -0,78260176
38,000 -0,87559344 -0,93054089 -0,87451849 -0,93272446 -0,86090727 -0,88669647 -0,89261924
39,000 -0,97180234 -1,01472823 -0,96027425 -1,01834638 -0,94301033 -0,96492096 -0,96778895
40,000 -1,00085289 -1,04562166 -1,0210967 -1,0598317 -1,02387139 -1,02370241 -1,02552076
41,000 -1,01786586 -1,03373319 -0,98926847 -1,04844864 -1,01869148 -1,01719317 -1,02237096
42,000 -0,94266477 -0,98178199 -0,94078979 -0,98874678 -0,98509901 -0,97478158 -0,97416636
43,000 -0,8397593 -0,87756603 -0,82294624 -0,88350652 -0,9025442 -0,87972409 -0,90698329
44,000 -0,64499428 -0,71300996 -0,67117996 -0,76769786 -0,76691353 -0,69123192 -0,75021108
45,000 -0,65700117 -0,68550455 -0,62844897 -0,68517285 -0,65297047 -0,6746715 -0,662968
46,000 -0,74379337 -0,77870443 -0,77016183 -0,76764431 -0,74006616 -0,75989595 -0,74822293
47,000 -0,80504991 -0,82956938 -0,80717341 -0,8315958 -0,7856263 -0,80126332 -0,80818355
48,000 -0,8557058 -0,88699479 -0,85946005 -0,87515258 -0,84838409 -0,83542211 -0,85434472
49,000 -0,88637233 -0,90993121 -0,91667019 -0,91256372 -0,88634551 -0,88409414 -0,89334222
50,000 -0,90148203 -0,90978329 -0,91492545 -0,92065261 -0,90468506 -0,89335831 -0,91697581
51,000 -0,83082337 -0,84790466 -0,83173046 -0,85585924 -0,8862885 -0,84042288 -0,87096362
52,000 -0,77040445 -0,80455842 -0,75992624 -0,80253996 -0,83109429 -0,79365581 -0,82666472
53,000 -0,71133125 -0,73888124 -0,70732732 -0,73847146 -0,7544185 -0,72204023 -0,75633562
54,000 -0,65341276 -0,67259353 -0,66931814 -0,67170038 -0,68393837 -0,65277686 -0,69590883
55,000 -0,64885901 -0,654762 -0,64563347 -0,64238494 -0,64714557 -0,61789118 -0,63709217
56,000 -0,69059127 -0,72043166 -0,69110581 -0,70738901 -0,66275928 -0,65986745 -0,69033238
57,000 -0,7882547 -0,80253464 -0,79876361 -0,78210766 -0,73326179 -0,74509819 -0,7712521
58,000 -0,87110278 -0,90555336 -0,8851217 -0,88819606 -0,87114573 -0,8526406 -0,85379816
59,000 -1,03683459 -1,05288183 -1,05437447 -1,04605487 -0,97996406 -0,99097363 -1,00977074
60,000 -1,25730554 -1,29015447 -1,24516436 -1,249708 -1,15030431 -1,18320582 -1,19739663
61,000 -1,46588372 -1,50173678 -1,46537123 -1,48502193 -1,37707703 -1,42394167 -1,42516413
62,000 -1,70380333 -1,74928499 -1,69941659 -1,70742163 -1,62046645 -1,667621 -1,64087522
63,000 -1,89946844 -1,93405526 -1,88209057 -1,90780894 -1,82627376 -1,87250557 -1,85740027
64,000 -1,99031071 -2,02620361 -1,99478534 -1,99292303 -1,97419224 -1,98681531 -1,99558561
65,000 -1,9539915 -1,99192843 -1,95288802 -1,98460799 -1,97932164 -1,97652899 -1,97282534
66,000 -1,88717568 -1,91446057 -1,88637213 -1,91382184 -1,92702178 -1,90666206 -1,92023367
67,000 -1,80942221 -1,86058331 -1,81488656 -1,84375942 -1,87489122 -1,847342 -1,87876747
68,000 -1,74441874 -1,78472704 -1,73416222 -1,77600677 -1,80278622 -1,77491174 -1,78417524
69,000 -1,67774055 -1,72841288 -1,6944823 -1,71823917 -1,72250231 -1,70212003 -1,71789798
70,000 -1,67036774 -1,70001958 -1,65153182 -1,68638257 -1,68333954 -1,67121649 -1,67986171
71,000 -1,65233131 -1,68943125 -1,64204813 -1,67476606 -1,64984056 -1,6584962 -1,67103302
72,000 -1,66476434 -1,67669022 -1,66377017 -1,68508145 -1,65744647 -1,66002238 -1,67923348
73,000 -1,60337622 -1,67767306 -1,62640616 -1,67233218 -1,65629787 -1,63814702 -1,65529424
74,000 -1,62661077 -1,68571259 -1,63716412 -1,66817592 -1,63182425 -1,64460965 -1,63516978
75,000 -1,69491715 -1,74013688 -1,68683812 -1,72657105 -1,67253531 -1,69617173 -1,67751594
76,000 -1,74950048 -1,79735763 -1,76890578 -1,78896183 -1,73828466 -1,7496358 -1,76201835
77,000 -1,80491411 -1,82244546 -1,79105413 -1,82423938 -1,80416157 -1,78325982 -1,79952003
78,000 -1,80678529 -1,82988459 -1,82023859 -1,83200341 -1,82342595 -1,78920351 -1,81897326
79,000 -1,76507433 -1,81222309 -1,76319067 -1,80238438 -1,80019485 -1,76665702 -1,79437348
80,000 -1,66883462 -1,70418409 -1,66061787 -1,71205541 -1,70792314 -1,69484704 -1,71675676
81,000 -1,53772135 -1,57685458 -1,55797708 -1,58535513 -1,62147203 -1,59449849 -1,60354822
82,000 -1,39776492 -1,43192311 -1,41494303 -1,45827051 -1,50160073 -1,46872845 -1,47323382
83,000 -1,25727188 -1,31046901 -1,25586925 -1,30082348 -1,34415284 -1,31909073 -1,32424779
84,000 -1,11428349 -1,1452992 -1,12978529 -1,16310116 -1,19219349 -1,15725533 -1,17202704
85,000 -1,14326475 -1,13040553 -1,12300926 -1,11611616 -1,13492673 -1,10578348 -1,11629966
86,000 -1,11094526 -1,14021906 -1,11033851 -1,14508708 -1,11048417 -1,1091546 -1,12923432
87,000 -1,04184914 -1,06276111 -1,04185458 -1,07860656 -1,10183724 -1,06441361 -1,10455419
88,000 -0,8890844 -0,89314214 -0,88535003 -0,90227014 -0,9700756 -0,91459255 -0,94838246
89,000 -0,73694654 -0,74644272 -0,73227699 -0,76356215 -0,79457437 -0,76146685 -0,78728679
90,000 -0,68147193 -0,70267431 -0,6870613 -0,71869141 -0,70615349 -0,69893885 -0,7103062
91,000 -0,70971475 -0,72431465 -0,7135673 -0,73046775 -0,69666884 -0,70411367 -0,68719533
92,000 -0,7269797 -0,74974278 -0,72758393 -0,74590577 -0,73930362 -0,73436682 -0,73475626
93,000 -0,74085647 -0,76991063 -0,75043555 -0,77608844 -0,74934866 -0,75864945 -0,7399365
94,000 -0,75802956 -0,78636121 -0,75784266 -0,78631412 -0,75550847 -0,77644687 -0,78901599
