Путь 17.07.24_1_out.csv_профиль_левый 17.07.24_1_out.csv_профиль_правый 17.07.24_2_in.csv_профиль_левый 17.07.24_2_in.csv_профиль_правый 17.07.24_3_out.csv_профиль_левый 17.07.24_3_out.csv_профиль_правый 17.07.24_4_in.csv_профиль_левый 17.07.24_4_in.csv_профиль_правый 17.07.24_5_out.csv_профиль_левый 17.07.24_5_out.csv_профиль_правый 17.07.24_6_in.csv_профиль_левый 17.07.24_6_in.csv_профиль_правый 17.07.24_7_out.csv_профиль_левый 17.07.24_7_out.csv_профиль_правый СКО_левый СКО_правый
1,000 0,00922287 -0,00922287 0,0136563 -0,0136563 0,00995148 -0,00995148 0,01103669 -0,01103669 0,00701792 -0,00701792 0,0077665 -0,0077665 0,00774433 -0,00774433 0,00214354 0,00214354
2,000 0,01097863 -0,00388119 0,0151251 -0,00760426 0,01093446 -0,00347198 0,0147663 -0,00725965 0,01003393 -0,00229379 0,01113083 -0,00370371 0,00960427 -0,00219784 0,00205867 0,00204675
3,000 0,01150786 -0,00105592 0,01533102 -0,00432921 0,0131178 -0,00224845 0,01442925 -0,00345526 0,01002485 0,00121579 0,01299267 -0,00207024 0,00844852 0,00247581 0,00225193 0,00226591
4,000 0,01335323 0,00023092 0,01661799 -0,00238907 0,01290664 0,00109267 0,01617026 -0,00194751 0,01226343 0,00222276 0,01293493 0,0012502 0,01026375 0,00393606 0,00205452 0,00206962
5,000 0,01504242 0,00128087 0,01760697 -0,00050514 0,01461308 0,00215707 0,01924021 -0,00214013 0,0135908 0,00388255 0,01548556 0,00161402 0,01101588 0,00613338 0,00246862 0,00251795
6,000 0,0133697 0,00506788 0,01977481 -0,00046558 0,01715073 0,00173962 0,01879341 0,00056037 0,01624304 0,00365201 0,01649873 0,00295349 0,01428517 0,00520359 0,00210861 0,00201287
7,000 0,0179176 0,00187722 0,02142459 -0,00062434 0,01858362 0,00168398 0,02171706 -0,00081567 0,01726038 0,00438815 0,0185819 0,0025091 0,01554397 0,00561594 0,00204228 0,00220098
8,000 0,01860184 0,00191512 0,02226147 -0,00056179 0,01938385 0,00161931 0,02064745 0,00114265 0,01701177 0,00568776 0,01735099 0,00471965 0,01550197 0,00660432 0,00213302 0,00246082
9,000 0,0179649 0,00304564 0,02179202 0,00051928 0,01909972 0,00236519 0,01986062 0,00252965 0,01813794 0,00515064 0,01909508 0,00360364 0,01615105 0,006535 0,00162 0,00181999
10,000 0,01725613 0,00429348 0,0220611 0,00095561 0,0178222 0,00420715 0,02123587 0,00182118 0,01874982 0,00507435 0,0175684 0,0057557 0,01643425 0,00679717 0,00196367 0,00193053
11,000 0,01716752 0,0052194 0,02179844 0,00217207 0,01528813 0,00752942 0,02043051 0,00354668 0,01767993 0,00683474 0,01737252 0,00678861 0,01343771 0,01050007 0,00263366 0,0025394
12,000 0,01999627 0,00362459 0,02338444 0,0018959 0,0200707 0,00395417 0,02110053 0,00416573 0,01786559 0,00770587 0,01766368 0,00768946 0,01645876 0,00855805 0,00218811 0,00237759
13,000 0,0193081 0,00584061 0,02499036 0,00194041 0,02033766 0,00523216 0,02331735 0,00354487 0,01926969 0,00775794 0,0217802 0,00509961 0,01819037 0,00825948 0,00227048 0,00205138
14,000 0,02000147 0,00694556 0,02473397 0,00407971 0,01920416 0,00814209 0,02639085 0,00241838 0,01870976 0,01003542 0,02166861 0,00703347 0,0183391 0,00987319 0,00291301 0,00262583
15,000 0,022324 0,00656724 0,02850182 0,00237069 0,02166811 0,00762272 0,02785372 0,00299722 0,02111251 0,00954666 0,02472974 0,00597235 0,01783424 0,01239295 0,00354548 0,00325837
16,000 0,02131906 0,00955049 0,02705275 0,00596107 0,02195318 0,00937549 0,02394639 0,00892776 0,02209359 0,01045604 0,02638789 0,00626211 0,02078589 0,01123391 0,00231525 0,00185447
17,000 0,01928625 0,01345063 0,02248659 0,01230691 0,01836967 0,01467589 0,02269588 0,01196979 0,0192058 0,01515672 0,02069745 0,01377381 0,0154247 0,01863653 0,0023357 0,00207292
