Ïóòü 24.07.17_1_out.csv 24.07.17_2_in.csv 24.07.17_3_out.csv 24.07.17_4_in.csv 24.07.17_5_out.csv 24.07.17_6_in.csv 24.07.17_7_out.csv ÑÊÎ
0,67659 1,10064299 1,09957679 1,10010989 1,10010989 1,10010989 1,10010989 1,10010989 0,00028495
0,90212 1,10106342 1,0993741 1,10148544 1,10104697 1,10074332 1,10092329 1,10074714 0,00061504
1,12765 1,10131281 1,09964274 1,10172577 1,10077342 1,10244672 1,10064477 1,10215769 0,00089943
1,35318 1,10142955 1,09954845 1,1017741 1,10074781 1,10257454 1,10075029 1,10211995 0,00094188
1,57871 1,10148354 1,09944539 1,10172812 1,10066814 1,10261158 1,10061679 1,10255359 0,00105656
1,80424 1,10106631 1,09903871 1,10196522 1,10027436 1,10269055 1,10012903 1,10257009 0,00127133
2,02977 1,10024409 1,09854472 1,10081794 1,09971476 1,10262802 1,0999169 1,10232304 0,00134856
2,2553 1,09937294 1,09796697 1,10001104 1,09916909 1,1029587 1,09934365 1,10186658 0,00159544
2,48083 1,09869909 1,0974363 1,0993159 1,09849954 1,10169018 1,09869527 1,10116222 0,00141418
2,70636 1,09789774 1,09683934 1,09851245 1,09799047 1,10076024 1,09803292 1,1004439 0,00132824
2,93189 1,09729536 1,09648314 1,09792541 1,09746923 1,10014115 1,09729729 1,09969595 0,00125503
3,15742 1,09687624 1,09624914 1,09755662 1,09708932 1,09928283 1,0971304 1,09882393 0,00101112
3,38295 1,09658101 1,0963833 1,09716155 1,09703395 1,09853088 1,09719923 1,09825562 0,00074502
3,60848 1,09648301 1,09615647 1,09698116 1,09679029 1,09808795 1,09707799 1,09790033 0,00065366
3,83401 1,09652636 1,0959609 1,09698058 1,09671751 1,09771479 1,09702646 1,09749422 0,0005467
4,05954 1,09674081 1,09576882 1,09703921 1,09672506 1,09749521 1,09696623 1,09751589 0,00054675
4,28507 1,09699369 1,09563083 1,09742975 1,09651982 1,09742742 1,09706126 1,09756032 0,00062906
4,5106 1,09721346 1,09595339 1,09753562 1,09652032 1,09759707 1,09689121 1,09747702 0,00056679
4,73613 1,09731998 1,09554704 1,09772552 1,09670582 1,09783307 1,0968972 1,09786714 0,00077167
4,96166 1,09694966 1,09555544 1,09751743 1,0963001 1,09810238 1,0964707 1,09791513 0,00085979
5,18719 1,09678561 1,09507394 1,0970577 1,09638245 1,09813083 1,09594454 1,09773785 0,00096871
5,41272 1,09628807 1,09452239 1,09687944 1,09577437 1,09794282 1,09551425 1,09754493 0,00110963
5,63825 1,09568403 1,09413474 1,09622093 1,09502633 1,09763613 1,09513286 1,0972491 0,0011616
5,86378 1,09502935 1,09364081 1,09554848 1,09468982 1,09719505 1,09450732 1,0967474 0,00116896
6,08931 1,09436765 1,09331249 1,09482709 1,09399256 1,09664065 1,093695 1,09593825 0,001125
6,31484 1,09376877 1,09302091 1,09416144 1,0936613 1,09580151 1,09332204 1,09523204 0,00094431
6,54037 1,09322756 1,09257763 1,09368981 1,09307916 1,09503903 1,09279768 1,09465685 0,0008695
6,7659 1,09265295 1,09224237 1,09302747 1,0924637 1,09452826 1,09239179 1,09406592 0,00082848
6,99143 1,0923403 1,09197345 1,09277053 1,09217782 1,09375702 1,09202436 1,0934854 0,0006661
7,21696 1,09207797 1,09204464 1,09232104 1,09201077 1,09326696 1,09199526 1,0929937 0,00048616
7,44249 1,09221045 1,09206379 1,09234124 1,09180546 1,09280809 1,09192111 1,09280426 0,00037091
7,66802 1,09229578 1,09192422 1,09257654 1,09181635 1,09264619 1,09208232 1,09254999 0,00031056
7,89355 1,09237072 1,09186472 1,09255156 1,09175767 1,09246817 1,09212691 1,09250348 0,00029802
8,11908 1,09233932 1,09151236 1,09252143 1,0913781 1,09271657 1,09205457 1,09258995 0,00049271
8,34461 1,09207924 1,09156424 1,09239904 1,09122142 1,0927886 1,09140848 1,09244048 0,0005511
8,57014 1,09164816 1,09097836 1,09194658 1,090915 1,09278583 1,09096583 1,09240838 0,00069809
8,79567 1,09101637 1,09068128 1,09137562 1,09035213 1,09245838 1,09029498 1,09204623 0,00077153
9,0212 1,09018356 1,09011077 1,09051805 1,08984829 1,09187777 1,08986276 1,09155169 0,00076137
9,24673 1,08945184 1,08936738 1,08973901 1,08932183 1,09114 1,08936104 1,09069537 0,00068643
9,47226 1,08894353 1,08903175 1,08904862 1,08883023 1,09031468 1,08898478 1,08994556 0,00053833
9,69779 1,08864656 1,08879942 1,08876003 1,08881459 1,08967296 1,08882308 1,08926373 0,0003389
9,92332 1,08840714 1,08864566 1,08853603 1,08858855 1,08889965 1,08856574 1,08871974 0,00014394
10,14885 1,08827221 1,08891385 1,08835868 1,08878064 1,0885982 1,08869355 1,08833625 0,0002288
10,37438 1,08841878 1,08868746 1,08861676 1,08880065 1,08822113 1,0888253 1,0881726 0,00024731
10,59991 1,08843034 1,08849187 1,08861255 1,089061 1,08824437 1,08908429 1,08827291 0,00032097
10,82544 1,08880055 1,0887408 1,08874494 1,08897477 1,08813781 1,08928767 1,08829607 0,00036113
11,05097 1,08884934 1,08872882 1,08863944 1,08917572 1,08842082 1,08933062 1,08852561 0,00031038
11,2765 1,0888053 1,08892045 1,0887155 1,08909292 1,08880429 1,08957206 1,08862245 0,00029538
11,50203 1,0889134 1,08889622 1,08892813 1,0891823 1,08853893 1,08970918 1,08863035 0,00035917
11,72756 1,08895215 1,08862071 1,08895079 1,08887627 1,08862151 1,0898514 1,08849988 0,00041849
11,95309 1,0885941 1,0885941 1,0885941 1,0885941 1,0885941 1,0885941 1,0885941 0,0
12,17862 1,08826915 1,08837676 1,08831884 1,08827565 1,08851357 1,08847013 1,08801123 0,00015265
12,40415 1,08796718 1,08818184 1,08786514 1,08777243 1,08816903 1,08804626 1,08817574 0,00015175
12,62968 1,08749196 1,08789111 1,08751636 1,08727069 1,08789083 1,0875296 1,08761281 0,00020756
12,85521 1,08715838 1,08756539 1,08713983 1,08696239 1,08766008 1,08704591 1,08726852 0,00024276
13,08074 1,08678776 1,08723438 1,086621 1,08638426 1,08725991 1,08685155 1,08683253 0,00029013
13,30627 1,08662649 1,08707589 1,08656884 1,08640693 1,08677907 1,08654958 1,08691338 0,00021519
13,5318 1,08673109 1,08701176 1,08654271 1,08633119 1,08646604 1,08634503 1,08623798 0,00024943
13,75733 1,08672748 1,08690944 1,08663389 1,08609151 1,08614881 1,08623822 1,08625654 0,00029771
13,98286 1,08661539 1,08708585 1,08660641 1,08606763 1,08627409 1,08639118 1,08628751 0,00030674
14,20839 1,08656767 1,0864734 1,08645244 1,08621834 1,08624729 1,08615776 1,08621884 0,00014798
14,43392 1,08670005 1,08664546 1,08666583 1,08620033 1,08621893 1,08619202 1,08613947 0,0002404
14,65945 1,08681889 1,08648083 1,08674471 1,0860862 1,08607815 1,08589394 1,08618938 0,0003309
14,88498 1,08667535 1,08621631 1,08676272 1,08551719 1,08624535 1,08567893 1,08628856 0,00042937
15,11051 1,08660496 1,08640982 1,08659703 1,08540733 1,08625343 1,08524454 1,08620968 0,0005134
15,33604 1,08669903 1,08643166 1,0864973 1,08553173 1,08627216 1,08519131 1,08597439 0,0005098
15,56157 1,0867286 1,08618839 1,08666741 1,08525237 1,08620688 1,08519102 1,08618886 0,00057047
15,7871 1,08665607 1,08571643 1,08652349 1,08519527 1,08618142 1,08475704 1,08617449 0,00064921
16,01263 1,08601037 1,084981 1,08600052 1,08432854 1,08637515 1,08423691 1,08605107 0,00082631
16,23816 1,08518163 1,08463007 1,08527692 1,08347248 1,08623533 1,0836452 1,08533726 0,00091356
16,46369 1,08406027 1,08385308 1,08431356 1,08314949 1,08587267 1,08292619 1,08521066 0,0009782
16,68922 1,08324538 1,08318676 1,08345127 1,08225791 1,08500224 1,08207281 1,08435005 0,00097099
16,91475 1,0830942 1,08359711 1,08277497 1,08211074 1,08357762 1,08152748 1,08327166 0,00071975
17,14028 1,08158687 1,08327455 1,08177895 1,08240223 1,08294867 1,08231697 1,08266112 0,00055854
17,36581 1,08136744 1,08343647 1,08149405 1,08272943 1,08232752 1,08242288 1,0824563 0,00065823
17,59134 1,08162557 1,08395816 1,08152707 1,08326571 1,08131689 1,08306036 1,08139922 0,00100641
17,81687 1,08182811 1,08406085 1,08174223 1,08394174 1,08089965 1,08338369 1,08146055 0,00119273
18,0424 1,08184839 1,08480881 1,08183671 1,08389879 1,0810738 1,08399896 1,08111349 0,00142372
18,26793 1,0820479 1,08442088 1,08193157 1,08429319 1,08113173 1,08408019 1,08117684 0,00137296
18,49346 1,08185361 1,08453557 1,08184964 1,08395883 1,0815526 1,08439016 1,08152432 0,00130194
18,71899 1,08178618 1,08478544 1,08183173 1,08427943 1,08156743 1,08435929 1,08151257 0,0013972
18,94452 1,08208988 1,08506696 1,08212889 1,08407381 1,08169671 1,08453143 1,0818008 0,00133486
19,17005 1,08225516 1,08492887 1,08232081 1,08393842 1,08148675 1,08449679 1,08169645 0,0013008
19,39558 1,08252062 1,08474979 1,08264633 1,08399125 1,08200561 1,08435895 1,08193157 0,00108029
19,62111 1,08258081 1,0845323 1,08268099 1,08369974 1,08202656 1,08435495 1,08210887 0,00096764
19,84664 1,08290166 1,08492939 1,08292549 1,08394548 1,08253307 1,08433211 1,08233511 0,00091519
20,07217 1,08321946 1,08508762 1,08319987 1,08404795 1,08261088 1,08428137 1,08257333 0,00086277
20,2977 1,08334617 1,08497715 1,08341987 1,08372524 1,08273049 1,08414002 1,08292466 0,00070835
20,52323 1,08364281 1,08494788 1,08369768 1,08407532 1,08292909 1,08429792 1,08279579 0,00070071
20,74876 1,08384359 1,08531228 1,08394451 1,08401092 1,08301672 1,08426503 1,08301958 0,00072691
20,97429 1,08389555 1,0847932 1,08398462 1,0838863 1,08341258 1,08478009 1,08354693 0,000507
21,19982 1,08399334 1,08510239 1,08413194 1,08386426 1,08368824 1,08422232 1,08371264 0,00044838
21,42535 1,0839513 1,0848757 1,08408539 1,08379025 1,0837504 1,08473777 1,08366817 0,00045227
21,65088 1,08385417 1,08487745 1,08390787 1,08344801 1,08382863 1,08422533 1,08371323 0,00042489
21,87641 1,08340438 1,0837883 1,08362708 1,08315384 1,08378528 1,08396444 1,0836413 0,00025028
22,10194 1,0833277 1,08298357 1,08335658 1,0831035 1,08338774 1,08372682 1,08347337 0,00022458
22,32747 1,08309682 1,08323099 1,08316863 1,08273523 1,08327406 1,08317245 1,083215 0,00016834
22,553 1,08294606 1,08300594 1,0828642 1,08276475 1,08301107 1,08355897 1,08274834 0,00025388
22,77853 1,08293665 1,0829746 1,0829347 1,08315738 1,08296361 1,08292447 1,08296152 7,475e-05
23,00406 1,08242111 1,08299774 1,08283381 1,0831663 1,08280928 1,08335249 1,08284931 0,00027446
23,22959 1,08269727 1,08269727 1,08269727 1,08269727 1,08269727 1,08269727 1,08269727 0,0
23,45512 1,08271399 1,08280215 1,08279261 1,08228462 1,0824839 1,08291156 1,08240066 0,00021895
23,68065 1,08262395 1,0830648 1,08250019 1,08200267 1,0826555 1,082446 1,08248931 0,00029216
23,90618 1,08253413 1,08293804 1,0825576 1,08196474 1,08285148 1,08231968 1,08249568 0,00030124
24,13171 1,08299081 1,08301902 1,08268654 1,08142278 1,08246535 1,0818619 1,08250826 0,00054398
24,35724 1,08267712 1,0824184 1,08290074 1,0818035 1,08244274 1,08205057 1,08218026 0,00034654
24,58277 1,0824538 1,08200551 1,08267498 1,08128019 1,08321855 1,08150149 1,08282439 0,00065949
24,8083 1,08244859 1,08227708 1,08267132 1,08112145 1,082689 1,08151062 1,08261502 0,00057807
25,03383 1,08268454 1,08182324 1,08273279 1,08094985 1,08262131 1,0807122 1,08277877 0,00082613
25,25936 1,08245502 1,08163699 1,08267084 1,08012393 1,08263538 1,08053089 1,0828447 0,0010289
25,48489 1,0821822 1,08165165 1,08232179 1,08015044 1,08282043 1,07988508 1,08284312 0,0011262
25,71042 1,08175118 1,08148246 1,08197615 1,07956006 1,08261216 1,07952671 1,08258874 0,00120866
25,93595 1,08153586 1,0810465 1,08166388 1,07908613 1,08222352 1,07950155 1,08199389 0,0011416
26,16148 1,08119613 1,08092814 1,08131282 1,07867867 1,08185339 1,07980452 1,08167915 0,00105606
26,38701 1,08089411 1,08032532 1,08105248 1,07913615 1,08172887 1,0802616 1,08136018 0,00079567
26,61254 1,08085073 1,08092497 1,0808909 1,07925182 1,08143654 1,08023026 1,08127941 0,0006872
26,83807 1,08095673 1,08115259 1,08106242 1,07935597 1,08105991 1,0807402 1,08116333 0,00059814
27,0636 1,0808833 1,08097018 1,08108891 1,07948966 1,08076746 1,0805229 1,08114011 0,00052809
27,28913 1,08107682 1,08129099 1,08102378 1,07982177 1,0809777 1,08094872 1,08109539 0,00044849
27,51466 1,08101239 1,08187611 1,08113695 1,08006928 1,08113038 1,08065291 1,08120664 0,00051156
27,74019 1,08112463 1,0814096 1,08134159 1,08033739 1,08121481 1,0811428 1,08127012 0,00033328
27,96572 1,08129296 1,08174857 1,08141812 1,08053076 1,08128808 1,08105424 1,08148654 0,00035678
28,19125 1,0814405 1,08173011 1,08158052 1,08076563 1,08102559 1,08170307 1,08152195 0,00033645
28,41678 1,08152104 1,0825976 1,08172203 1,08080757 1,0811599 1,08157507 1,0817507 0,00051557
28,64231 1,0817414 1,08252179 1,08182819 1,08103671 1,08150256 1,08192281 1,08176669 0,00041426
28,86784 1,08204004 1,08202883 1,08203109 1,08124388 1,08185452 1,08189297 1,08203869 0,00026756
29,09337 1,08197772 1,08215019 1,08210823 1,08157794 1,08204901 1,08190359 1,08221469 0,00019663
29,3189 1,081977 1,08219712 1,08208966 1,08177677 1,08219812 1,08223264 1,08229434 0,00016627
29,54443 1,08188955 1,08245772 1,08189388 1,08193339 1,08230783 1,08188622 1,08238588 0,00024281
