Путь Время,mc Скорость Отметка Шаблон Статус Курс Крен Тангаж Vn Ve Vh Широта Долгота Высота Ax Ay Az 
710,73724365234 20605 0 <_____> 1480,6 <Интегр-Навиг> 135,639 0,304887 0,448422 0,442225 -0,262051 0 55,75855684766 37,72854031411 168,96098327637 0,0458192 9,78989 -0,0518332
710,52545166016 21442 -0,457471 <_____> 1480,8 <Интегр-Навиг> 135,699 0,297399 0,432684 1,18517 -0,98012 0 55,75855843195 37,72853820531 168,79940795898 -0,259033 9,77728 -0,0621649
710,31365966797 21872 -0,609961 Piket 1480,8 <Интегр-Навиг> 135,713 0,28993 0,437519 1,4851 -1,27151 0 55,75855938884 37,72853607006 168,64210510254 0,10372 9,36756 -0,085826
710,10186767578 22232 -0,838696 <_____> 1480,8 <Интегр-Навиг> 135,711 0,282851 0,428065 1,78612 -1,56945 0 55,75856084532 37,72853381661 168,56942749023 -0,0743528 9,81355 -0,278014
709,89007568359 22537 -0,838696 <_____> 1481 <Интегр-Навиг> 135,703 0,287447 0,421424 1,9616 -1,75321 0 55,75856034398 37,72853426596 168,42994689941 0,442912 10,1265 -0,0879727
709,67828369141 22821 -0,991186 <_____> 1481,2 <Интегр-Навиг> 135,704 0,305953 0,41147 2,06729 -1,85744 0 55,75856175565 37,72853202560 168,37174987793 -0,504475 9,25598 -0,210238
709,46649169922 23091 -1,06743 <_____> 1481,2 <Интегр-Навиг> 135,707 0,299383 0,412622 2,13712 -1,91972 0 55,75856319319 37,72852973530 168,31466674805 -0,104376 10,0109 0,0503056
709,25463867188 23352 -1,1439 <_____> 1481,6 <Интегр-Навиг> 135,717 0,332303 0,413402 2,23185 -2,01478 0 55,75856460666 37,72852747721 168,26029968262 0,559093 9,99069 -0,012829
709,04284667969 23600 -1,1439 <_____> 1481,8 <Интегр-Навиг> 135,725 0,337336 0,442109 2,29882 -2,08632 0 55,75856104631 37,72853371824 168,12686157227 0,0804227 9,49494 0,071777
708,83105468750 23841 -1,21992 <_____> 1482,2 <Интегр-Навиг> 135,731 0,355758 0,459332 2,35817 -2,12657 0 55,75856243972 37,72853148050 168,07545471191 0,227026 10,0467 -0,0348957
708,61926269531 24078 -1,21992 <_____> 1482,6 <Интегр-Навиг> 135,718 0,374313 0,468304 2,40783 -2,17945 0 55,75856385868 37,72852919826 168,02395629883 0,384589 9,64343 0,175243
708,40747070313 24304 -1,29617 <_____> 1482,8 <Интегр-Навиг> 135,718 0,389122 0,507648 2,52354 -2,29817 0 55,75856525906 37,72852693936 167,97497558594 0,0908445 10,5093 0,111866
708,19567871094 24520 -1,29617 <_____> 1482,8 <Интегр-Навиг> 135,733 0,404387 0,5251 2,58275 -2,34604 0 55,75855947371 37,72853726733 167,84539794922 0,181415 9,9923 -0,0680361
707,98388671875 24729 -1,37241 <_____> 1482,8 <Интегр-Навиг> 135,741 0,412975 0,54951 2,65105 -2,41943 0 55,75856082155 37,72853508567 167,79969787598 0,213499 9,30783 -0,248583
707,77209472656 24933 -1,37241 <_____> 1482,8 <Интегр-Навиг> 135,76 0,413414 0,562167 2,7273 -2,49129 0 55,75856220451 37,72853284503 167,75375366211 -0,380307 9,73523 -0,0792388
707,56024169922 25133 -1,5249 <_____> 1482,8 <Интегр-Навиг> 135,766 0,424659 0,554304 2,76974 -2,5371 0 55,75856357460 37,72853062279 167,70930480957 -0,0112457 9,54833 -0,0368936
707,34844970703 25330 -1,5249 <_____> 1482,8 <Интегр-Навиг> 135,772 0,433361 0,557578 2,7955 -2,56118 0 55,75856496272 37,72852836860 167,66468811035 -0,59343 9,4433 0,199666
707,13665771484 25527 -1,52512 <_____> 1483 <Интегр-Навиг> 135,772 0,433322 0,538043 2,79938 -2,5705 0 55,75856630815 37,72852618392 167,52728271484 -0,204017 10,1387 -0,0992725
706,92486572266 25721 -1,52512 <_____> 1483 <Интегр-Навиг> 135,797 0,452454 0,480163 2,80917 -2,57148 0 55,75856709485 37,72852432099 167,48327636719 -0,238282 8,77533 -0,223411
706,71307373047 25916 -1,5249 <_____> 1483 <Интегр-Навиг> 135,8 0,463458 0,461906 2,80553 -2,55395 0 55,75856849527 37,72852205013 167,43788146973 0,217392 9,56167 -0,517274
706,50128173828 26112 -1,5249 <_____> 1483,2 <Интегр-Навиг> 135,802 0,471251 0,432069 2,80562 -2,56811 0 55,75856984962 37,72851985560 167,39387512207 -0,385558 9,64355 -0,198127
706,28948974609 26307 -1,60115 <_____> 1483,4 <Интегр-Навиг> 135,809 0,489521 0,404591 2,82879 -2,58546 0 55,75857120480 37,72851765898 167,34994506836 0,0147724 9,84689 -0,39608
706,07763671875 26503 -1,60115 <_____> 1483,4 <Интегр-Навиг> 135,812 0,508377 0,381697 2,80138 -2,56216 0 55,75857231319 37,72851567757 167,20967102051 -0,524381 8,74394 -0,397183
705,86584472656 26698 -1,52512 <_____> 1483,4 <Интегр-Навиг> 135,809 0,521747 0,351421 2,80708 -2,58047 0 55,75857367043 37,72851347650 167,16496276855 0,0734124 9,46638 0,111181
705,65405273438 26893 -1,52512 <_____> 1483,4 <Интегр-Навиг> 135,798 0,541059 0,354366 2,80305 -2,55289 0 55,75857502668 37,72851127547 167,12049865723 -0,177528 9,32018 -0,39101
705,44226074219 27090 -1,60115 <_____> 1483,4 <Интегр-Навиг> 135,786 0,533859 0,342957 2,79829 -2,56144 0 55,75857642261 37,72850901266 167,07440185547 -0,307231 10,0136 0,371338
705,23046875000 27286 -1,60115 <_____> 1483,4 <Интегр-Навиг> 135,784 0,553053 0,335667 2,78969 -2,54987 0 55,75857776775 37,72850683111 167,02993774414 -0,0993197 9,7665 -0,307504
705,01867675781 27484 -1,5249 <_____> 1483,4 <Интегр-Навиг> 135,784 0,548599 0,319344 2,78343 -2,54183 0 55,75857953008 37,72850426957 166,90235900879 -0,366329 9,0365 -0,223506
704,80688476563 27682 -1,5249 <_____> 1483,4 <Интегр-Навиг> 135,771 0,535168 0,33386 2,78184 -2,54531 0 55,75858087320 37,72850209558 166,85717773438 0,567454 10,2909 0,211928
704,59509277344 27879 -1,5249 <_____> 1483,2 <Интегр-Навиг> 135,77 0,522251 0,317451 2,79613 -2,56069 0 55,75858226368 37,72849984294 166,81039428711 -0,197415 9,75182 0,279552
704,38323974609 28075 -1,5249 <_____> 1483 <Интегр-Навиг> 135,766 0,511988 0,299368 2,82165 -2,57888 0 55,75858361922 37,72849764618 166,76527404785 0,112301 9,68594 -0,52549
704,17144775391 28269 -1,60137 <_____> 1482,8 <Интегр-Навиг> 135,753 0,490656 0,287226 2,82909 -2,59293 0 55,75858502772 37,72849536063 166,71859741211 -0,755455 9,48326 -0,22785
703,95965576172 28463 -1,60137 <_____> 1482,6 <Интегр-Навиг> 135,777 0,483604 0,255549 2,82128 -2,58214 0 55,75858638999 37,72849315093 166,62765502930 -0,257081 9,74062 0,0249385
703,74786376953 28657 -1,5249 <_____> 1482,4 <Интегр-Навиг> 135,789 0,461413 0,230526 2,84792 -2,59534 0 55,75858773381 37,72849034701 166,58222961426 0,199931 9,69273 -0,285745
703,53607177734 28850 -1,5249 <_____> 1482,4 <Интегр-Навиг> 135,809 0,43241 0,190248 2,84895 -2,60479 0 55,75858910482 37,72848812854 166,53688049316 0,175743 10,2404 -0,00329246
703,32427978516 29040 -1,60115 <_____> 1482,4 <Интегр-Навиг> 135,83 0,40943 0,136527 2,89321 -2,65005 0 55,75859044285 37,72848596627 166,49320983887 -0,890427 9,18151 0,17216
703,11248779297 29229 -1,60115 <_____> 1482,8 <Интегр-Навиг> 135,844 0,387816 0,100225 2,89494 -2,65086 0 55,75859184306 37,72848370038 166,44802856445 -0,12885 9,92774 0,161561
702,90063476563 29418 -1,60115 <_____> 1483,6 <Интегр-Навиг> 135,856 0,369289 0,0805901 2,90953 -2,67099 0 55,75859320214 37,72848149955 166,40438842773 0,28378 9,74497 0,332322
702,68884277344 29604 -1,60115 <_____> 1484,6 <Интегр-Навиг> 135,869 0,37076 0,0416154 2,93909 -2,68819 0 55,75859451740 37,72847810203 166,37287902832 0,469278 9,74281 0,0404685
702,47705078125 29791 -1,67761 <_____> 1485 <Интегр-Навиг> 135,882 0,372501 0,0284556 2,94228 -2,68542 0 55,75859588620 37,72847588302 166,32962036133 -0,5261 9,2669 -0,0469952
702,26525878906 29978 -1,67761 <_____> 1485,8 <Интегр-Навиг> 135,88 0,369698 0,0357605 2,94947 -2,69169 0 55,75859725637 37,72847366492 166,28640747070 0,00244332 9,94815 0,0591534
702,05346679688 30165 -1,60115 <_____> 1486,4 <Интегр-Навиг> 135,881 0,371159 0,0337205 2,93273 -2,68551 0 55,75859863022 37,72847143984 166,24316406250 0,0350997 9,37901 -0,154033
701,84167480469 30353 -1,60115 <_____> 1486,6 <Интегр-Навиг> 135,895 0,37566 0,0460969 2,92234 -2,66055 0 55,75859999169 37,72846923560 166,19987487793 -0,305994 9,36609 0,0606531
701,62988281250 30542 -1,60115 <_____> 1486,4 <Интегр-Навиг> 135,905 0,376713 0,0590266 2,90806 -2,65578 0 55,75860124337 37,72846613834 166,22271728516 -0,194444 10,3177 0,231882
701,41809082031 30732 -1,60115 <_____> 1486,4 <Интегр-Навиг> 135,914 0,385592 0,0711712 2,89553 -2,63394 0 55,75860264474 37,72846387237 166,17872619629 -0,416274 9,27985 -0,230793
701,20623779297 30921 -1,60115 <_____> 1486,4 <Интегр-Навиг> 135,922 0,373932 0,0780689 2,90559 -2,64395 0 55,75860399634 37,72846168930 166,13604736328 -0,374563 9,8778 0,078917
700,99444580078 31111 -1,60137 <_____> 1486,2 <Интегр-Навиг> 135,927 0,37128 0,0829457 2,87143 -2,62131 0 55,75860539409 37,72845943137 166,09188842773 -0,675616 8,29929 -0,170205
700,78265380859 31304 -1,60137 <_____> 1485,6 <Интегр-Навиг> 135,921 0,378703 0,0915973 2,87117 -2,61647 0 55,75860677654 37,72845719553 166,04759216309 -0,608585 9,74121 -0,0869683
700,57086181641 31496 -1,60115 <_____> 1485 <Интегр-Навиг> 135,921 0,374594 0,0774987 2,85629 -2,6085 0 55,75860815410 37,72845496969 166,13856506348 -0,672257 9,61171 0,218777
700,35906982422 31689 -1,60115 <_____> 1484,8 <Интегр-Навиг> 135,922 0,381619 0,0780818 2,84843 -2,61113 0 55,75860911882 37,72845190212 166,09722900391 -0,72278 9,99085 0,203644
700,14727783203 31881 -1,60115 Piket 1484,4 <Интегр-Навиг> 135,933 0,376246 0,0755747 2,87413 -2,61913 0 55,75861049926 37,72844966817 166,05451965332 -0,3481 8,7735 -0,176648
699,93548583984 32071 -1,60115 <_____> 1484,2 <Интегр-Навиг> 135,932 0,379328 0,0595746 2,91697 -2,66988 0 55,75861189634 37,72844740547 166,01164245605 -0,310146 9,33375 0,0207762
699,72369384766 32260 -1,60115 <_____> 1484 <Интегр-Навиг> 135,935 0,390502 0,0340102 2,90163 -2,65735 0 55,75861325089 37,72844520810 165,97029113770 0,0728408 10,4529 0,660605
