acceleration_X acceleration_Y acceleration_Z angular_velocity_X angular_velocity_Y angular_velocity_Z
8224 42784 8195 29984 16249 8224
8224 1824 1284 800 800 8224
8224 1824 16132 633 31008 8313
8224 1824 29956 3705 16160 8255
5920 16160 8313 16160 8255 26400
16160 30015 1145 1568 8224 8224
16160 2051 288 8224 8224 8224
8224 16160 31087 8193 8203 8224
8224 16160 8206 31093 31039 8224
8224 16160 2563 31008 16249 8224
16160 28479 16249 8255 8224 16160
5920 16160 8199 31093 31087 8224
8224 16160 31087 8199 16191 8224
8313 16160 3104 16160 8313 8224
8224 16160 29984 30073 8313 8224
8224 16160 1027 16160 8255 8224
16160 30979 633 1056 8224 8224
8224 16160 31093 8224 31093 8224
8224 16160 8224 31039 8224 8224
8224 14112 29956 16249 8313 8224
5920 16160 16131 16191 8224 9504
16249 831 31039 8224 16191 8224
16160 4611 800 28448 8313 8224
8224 16160 8200 16191 8224 8224
8224 16160 31008 31097 8313 8224
8224 16160 8200 8255 8224 8224
5920 16160 8214 16191 8224 8224
8224 42784 29955 2681 1312 8224
8224 16160 2336 28448 8313 8224
8224 16160 30979 31097 30073 8313
8224 16160 2336 16160 8255 23584
8224 16160 8194 31097 8224 8224
16160 515 16160 8255 8224 16160
16160 8195 31008 16249 8255 1824
8224 16160 30073 16249 8224 8480
8224 16160 8195 16160 16249 8224
5920 16160 16131 8255 8224 8224
8224 16160 8255 31087 8224 8224
16249 1539 1824 16160 8224 8224
8224 16160 29984 16249 8224 8224
16160 31039 31093 8204 8224 8224
8224 16160 8193 31093 8255 8224
16160 29955 2425 16160 8313 8224
8224 16160 8196 8195 16191 8224
5920 1824 1028 4640 16160 8224
8224 16160 30073 28537 8313 8224
16160 31039 16191 8224 8224 32294
5920 16160 29955 8313 28448 8313
16160 28419 1657 31008 8313 8224
8224 16160 1312 16160 8255 20768
5920 1824 29956 16249 30073 8313
8224 16160 288 31008 8313 8224
16160 2563 544 2080 8224 8224
8224 16160 8224 16191 8224 8224
8224 16160 8217 31093 8199 8224
16160 29955 8313 1312 8224 8224
8224 16160 8196 16191 8224 8224
8224 16160 8200 31097 31093 8224
16160 29955 16249 8255 8224 16160
8224 16160 31097 31097 8202 8224
16160 8195 29984 16249 8224 288
8224 16160 16191 8193 8224 8224
8224 16160 29955 2681 16160 8313
8224 16160 16131 2111 8224 8224
8224 16160 8198 16191 8224 8224
5920 16160 8206 31039 8199 8224
16160 16132 30073 28537 8313 8224
6009 16160 8195 8193 16191 8224
8224 16160 16131 1145 16160 8313
16160 8195 8224 29984 8313 8224
16249 16131 16249 8255 8224 16160
8224 16160 2592 31008 8313 8224
16249 16131 28479 8313 8224 16160
8224 16160 31039 8196 8195 8224
16249 2563 1568 16160 8255 16160
8224 16160 2169 16160 8224 11040
8224 16160 8195 8200 8255 8224
8224 16160 8196 8197 16191 8224
16160 16131 31097 16249 8224 3616
8224 16160 30073 8313 8224 8224
