acceleration_X acceleration_Y acceleration_Z angular_velocity_X angular_velocity_Y angular_velocity_Z
71 -47 983 12 16 -26
0 -23 1007 12 16 -26
-23 0 935 15 -2 -16
-23 -23 1007 -1 -8 -11
23 -71 1007 -12 -5 -16
0 0 959 -21 0 17
0 0 983 -21 0 17
23 0 983 8 5 -9
0 -23 983 16 4 -21
47 0 1007 -5 0 -4
0 -23 983 -25 -2 -7
23 23 959 -25 -2 -7
23 -47 959 2 10 -32
23 0 935 14 6 -43
23 -23 983 7 1 -37
23 -23 1007 -3 0 -20
0 0 959 -3 0 -20
47 -23 959 12 11 9
23 0 935 -1 2 -19
47 0 983 6 0 -19
47 0 983 5 -6 8
95 -23 983 5 -6 8
23 0 983 -10 1 11
-23 0 1007 0 3 -10
23 0 959 14 -9 -18
0 0 1031 9 -9 -23
0 0 959 9 0 -23
47 -23 983 3 -9 -24
0 -23 959 -1 5 -9
47 0 935 -1 3 0
23 0 983 -1 3 -2
0 -23 983 4 8 -2
0 0 1007 11 -5 -20
47 0 983 2 -11 5
0 0 983 5 -6 15
23 -23 983 5 -6 15
47 -47 983 4 -14 -6
47 0 1007 -8 -6 2
47 0 959 -7 -5 2
47 -23 959 10 -7 -27
23 23 1007 10 -7 -27
0 0 983 10 10 -4
47 23 959 -5 -5 1
23 0 1031 -5 4 -11
0 0 1031 1 5 -37
23 0 959 1 5 -37
47 0 983 -6 2 -11
23 -23 1007 -11 -2 8
47 0 983 3 5 -20
23 -23 935 18 -7 -55
23 -23 983 18 -7 -55
23 -23 935 16 -7 -29
47 0 983 1 -3 -29
0 0 983 -5 2 -10
23 0 983 6 3 -11
23 0 959 6 3 -11
23 -23 1007 1 -1 -29
23 0 983 21 10 -27
0 0 983 13 9 -23
0 -71 1007 8 16 -14
0 0 1031 8 16 -14
0 0 1007 4 11 -13
0 0 1007 12 0 -6
0 0 1007 13 -6 -23
23 0 1007 27 6 -38
47 -47 1007 27 6 -38
47 -71 959 18 -5 -22
23 23 959 1 -4 -31
0 -47 1007 -9 -3 -15
23 23 959 -1 -9 -26
23 0 1007 -1 -9 -26
47 0 935 -10 6 -16
71 -47 1007 -16 -1 -2
47 -23 1055 -23 6 5
0 -23 983 4 19 1
23 0 983 4 19 1
47 0 983 1 11 0
47 0 1007 6 0 6
0 23 983 5 -7 -16
47 -23 935 16 -5 -26
47 0 959 16 -5 -26
23 0 1007 -9 1 -38
0 0 983 -5 0 -14
23 0 1007 -7 4 -10
23 -71 1007 -2 8 -22
47 -23 983 -2 8 -22
23 0 959 13 9 -21
23 0 935 -5 13 -3
47 -23 959 11 15 -9
0 0 1031 10 1 -9
23 -23 935 10 1 -9
47 0 983 -23 6 -15
47 0 983 -18 -4 3
0 -23 983 14 7 -5
47 -47 1007 0 18 -12
0 0 983 0 18 -12
23 -23 1007 6 -1 -19
71 -23 1031 13 -6 -6
0 -47 1007 8 -12 -16
23 23 983 -5 -15 -6
47 0 983 -5 -15 -6
23 0 983 -13 -2 -10
23 0 983 -16 3 -19
0 0 959 -1 6 -6
71 0 959 3 0 -18
23 0 959 3 0 -18
0 0 983 -2 26 -9
23 0 959 8 4 -8
23 0 959 -2 -4 -19
0 0 1007 0 0 -11
23 -23 983 0 0 -11
47 -23 959 -6 4 -11
0 -23 983 0 3 -2
0 0 959 0 0 15
23 23 983 -1 0 -2
0 -23 983 -1 0 -2
47 -23 983 2 3 -20
23 0 935 13 -1 -14
71 0 983 11 6 -16
23 0 983 11 6 -31
47 -47 959 3 5 -31
23 0 959 -11 -2 -22
23 0 935 -1 0 -17
23 -23 1031 -8 -1 -20
47 0 959 -8 -1 -9
71 0 983 -2 -8 -9
0 23 935 14 0 -7
23 0 983 13 -5 -21
0 23 959 10 4 -30
47 -23 1007 10 4 -30
0 -23 983 6 5 -19
23 -23 983 9 -4 -14
47 0 959 10 0 -26
0 0 983 -4 4 -24
23 -23 1007 -4 4 -24
0 0 983 6 21 -44
0 -23 959 1 11 -27
47 -23 983 -4 0 -21
23 0 983 -3 -3 -17
0 0 983 -3 -3 -17
47 0 1031 -26 -10 -8
23 0 983 1 15 -7
23 0 1007 9 6 -5
71 0 1007 11 15 -15
0 0 959 11 15 -15
0 0 959 7 13 -24
71 0 935 12 7 -22
23 -47 959 6 3 -9
-23 -23 1031 7 -16 1
0 0 983 7 -16 1
0 0 983 8 0 -5
0 0 983 -3 4 -27
0 -23 1007 17 9 -23
23 0 983 16 -3 -24
23 0 935 16 -3 -24
0 0 959 10 -14 -31
47 0 1007 -9 3 -43
23 -47 983 -18 2 -5
0 0 1007 4 -8 -1
0 0 983 4 -8 -1
0 -47 983 3 -1 -11
0 -23 1007 -6 6 0
0 -23 1031 -1 4 -7
0 -47 983 13 -5 -31
23 -47 1031 13 -5 -31
23 23 983 0 -8 -18
23 -23 1007 -14 -3 -41
47 23 1055 8 4 -20
0 -23 983 6 18 -23
23 0 1007 6 18 -23
47 0 959 -1 10 -37
