Номер Координата    X   Y   H
1660,000 898,094184 974,163327 1000,015954
1661,000 899,61713 974,454808 1000,014776
1662,000 901,140075 974,746289 1000,013598
1663,000 902,663021 975,037769 1000,012419
1664,000 904,185967 975,32925 1000,011241
1665,000 905,708912 975,62073 1000,010063
1666,000 907,231858 975,912211 1000,008884
1667,000 908,754803 976,203692 1000,007706
1668,000 910,277749 976,495172 1000,006528
1669,000 911,800694 976,786653 1000,00535
1670,000 913,32364 977,078133 1000,004171
1671,000 914,846586 977,369614 1000,002993
1672,000 916,369531 977,661094 1000,001815
1673,000 917,892477 977,952575 1000,000636
1674,000 919,416181 978,234338 999,999406
1675,000 920,940776 978,504689 999,998113
1676,000 922,465371 978,775041 999,996821
1677,000 923,989966 979,045392 999,995528
1678,000 925,514561 979,315744 999,994235
1679,000 927,039156 979,586095 999,992943
1680,000 928,563751 979,856446 999,99165
1681,000 930,088346 980,126798 999,990358
1682,000 931,612941 980,397149 999,989065
1683,000 933,137536 980,6675 999,987773
1684,000 934,662131 980,937852 999,98648
1685,000 936,186726 981,208203 999,985188
1686,000 937,711321 981,478555 999,983895
1687,000 939,235916 981,748906 999,982603
1688,000 940,76529 982,005519 999,980323
1689,000 942,29884 982,250123 999,97718
1690,000 943,83239 982,494727 999,974037
1691,000 945,36594 982,739332 999,970894
1692,000 946,899491 982,983936 999,967751
1693,000 948,433041 983,22854 999,964608
1694,000 949,966591 983,473145 999,961465
1695,000 951,500141 983,717749 999,958322
1696,000 953,033692 983,962353 999,955179
1697,000 954,567242 984,206957 999,952036
1698,000 956,100792 984,451562 999,948893
1699,000 957,634342 984,696166 999,94575
1700,000 959,167892 984,94077 999,942607
1701,000 960,712911 985,160088 999,939118
1702,000 962,260673 985,373355 999,935547
1703,000 963,808436 985,586622 999,931976
1704,000 965,356199 985,799889 999,928405
1705,000 966,903961 986,013155 999,924834
1706,000 968,451724 986,226422 999,921263
1707,000 969,999487 986,439689 999,917692
1708,000 971,547249 986,652956 999,914121
1709,000 973,095012 986,866223 999,91055
1710,000 974,642775 987,07949 999,906979
1711,000 976,190537 987,292757 999,903408
1712,000 977,7383 987,506023 999,899837
1713,000 979,301797 987,68615 999,899344
1714,000 980,870111 987,856135 999,899793
1715,000 982,438424 988,026119 999,900242
1716,000 984,006738 988,196103 999,90069
1717,000 985,575051 988,366087 999,901139
1718,000 987,143365 988,536071 999,901588
1719,000 988,711678 988,706055 999,902037
1720,000 990,279992 988,87604 999,902486
1721,000 991,848305 989,046024 999,902935
1722,000 993,416619 989,216008 999,903384
1723,000 994,984932 989,385992 999,903833
1724,000 996,553246 989,555976 999,904282
1725,000 998,121559 989,72596 999,904731
1726,000 999,701537 989,876786 999,904863
1727,000 1001,299031 989,998839 999,90452
1728,000 1002,896526 990,120892 999,904177
1729,000 1004,494021 990,242945 999,903834
1730,000 1006,091516 990,364997 999,903491
1731,000 1007,68901 990,48705 999,903147
1732,000 1009,286505 990,609103 999,902804
1733,000 1010,884 990,731156 999,902461
1734,000 1012,481495 990,853209 999,902118
1735,000 1014,078989 990,975262 999,901775
1736,000 1015,676484 991,097315 999,901432
1737,000 1017,273979 991,219368 999,901089
1738,000 1018,889152 991,311644 999,898844
1739,000 1020,510509 991,393503 999,895933
1740,000 1022,131866 991,475362 999,893023
1741,000 1023,753223 991,557221 999,890112
1742,000 1025,37458 991,63908 999,887202
1743,000 1026,995937 991,72094 999,884291
1744,000 1028,617294 991,802799 999,88138
1745,000 1030,238651 991,884658 999,87847
1746,000 1031,860008 991,966517 999,875559
1747,000 1033,481366 992,048376 999,872649
1748,000 1035,102723 992,130235 999,869738
1749,000 1036,724943 992,197172 999,866893
1750,000 1038,347457 992,259037 999,864069
1751,000 1039,969971 992,320901 999,861245
1752,000 1041,592485 992,382766 999,858421
1753,000 1043,214999 992,444631 999,855598
1754,000 1044,837513 992,506495 999,852774
1755,000 1046,460026 992,56836 999,84995
1756,000 1048,08254 992,630224 999,847127
1757,000 1049,705054 992,692089 999,844303
1758,000 1051,327568 992,753954 999,841479
1759,000 1052,950082 992,815818 999,838656
1760,000 1054,571567 992,877575 999,835921
1761,000 1056,176807 992,937616 999,834599
1762,000 1057,782047 992,997657 999,833276
1763,000 1059,387287 993,057698 999,831954
1764,000 1060,992527 993,117739 999,830631
1765,000 1062,597767 993,17778 999,829309
1766,000 1064,203006 993,237821 999,827986
1767,000 1065,808246 993,297862 999,826664
1768,000 1067,413486 993,357903 999,825341
1769,000 1069,018726 993,417944 999,824019
1770,000 1070,623966 993,477986 999,822696
1771,000 1072,229205 993,538027 999,821374
1772,000 1073,822379 993,59724 999,823112
1773,000 1075,410797 993,656127 999,826056
1774,000 1076,999215 993,715014 999,829001
1775,000 1078,587632 993,773902 999,831945
1776,000 1080,17605 993,832789 999,834889
1777,000 1081,764468 993,891676 999,837834
1778,000 1083,352886 993,950563 999,840778
1779,000 1084,941304 994,00945 999,843723
1780,000 1086,519217 994,069374 999,843406
1781,000 1088,096038 994,129406 999,84275
1782,000 1089,672858 994,189438 999,842094
1783,000 1091,249679 994,24947 999,841437
1784,000 1092,826499 994,309502 999,840781
1785,000 1094,40332 994,369534 999,840125
1786,000 1095,98014 994,429565 999,839469
1787,000 1097,55696 994,489597 999,838813
1788,000 1099,133781 994,549629 999,838157
1789,000 1100,710601 994,609661 999,837501
1790,000 1102,287422 994,669693 999,836845
1791,000 1103,864242 994,729725 999,836189
1792,000 1105,431516 994,789029 999,83368
1793,000 1106,994932 994,848039 999,830424
1794,000 1108,558348 994,907049 999,827167
1795,000 1110,121765 994,966059 999,82391
1796,000 1111,685181 995,025069 999,820653
1797,000 1113,248597 995,084079 999,817396
1798,000 1114,812014 995,143089 999,81414
