Номер Координата    X   Y   H
1661,000 898,196334 975,722219 1000,062038
1662,000 899,720866 976,014607 1000,059203
1663,000 901,245397 976,306995 1000,056368
1664,000 902,769929 976,599382 1000,053532
1665,000 904,29446 976,89177 1000,050697
1666,000 905,818992 977,184158 1000,047862
1667,000 907,343524 977,476546 1000,045027
1668,000 908,868055 977,768934 1000,042192
1669,000 910,392587 978,061322 1000,039356
1670,000 911,917118 978,35371 1000,036521
1671,000 913,44165 978,646098 1000,033686
1672,000 914,966182 978,938485 1000,030851
1673,000 916,490713 979,230873 1000,028016
1674,000 918,015245 979,523261 1000,02518
1675,000 919,540896 979,802212 1000,023194
1676,000 921,067345 980,071577 1000,021812
1677,000 922,593794 980,340942 1000,02043
1678,000 924,120244 980,610306 1000,019048
1679,000 925,646693 980,879671 1000,017667
1680,000 927,173142 981,149036 1000,016285
1681,000 928,699592 981,418401 1000,014903
1682,000 930,226041 981,687766 1000,013521
1683,000 931,75249 981,957131 1000,01214
1684,000 933,27894 982,226496 1000,010758
1685,000 934,805389 982,49586 1000,009376
1686,000 936,331838 982,765225 1000,007995
1687,000 937,858288 983,03459 1000,006613
1688,000 939,384737 983,303955 1000,005231
1689,000 940,916802 983,553206 1000,002741
1690,000 942,449995 983,798417 1000,000029
1691,000 943,983187 984,043629 999,997316
1692,000 945,51638 984,288841 999,994604
1693,000 947,049573 984,534052 999,991891
1694,000 948,582765 984,779264 999,989178
1695,000 950,115958 985,024475 999,986466
1696,000 951,649151 985,269687 999,983753
1697,000 953,182343 985,514899 999,981041
1698,000 954,715536 985,76011 999,978328
1699,000 956,248729 986,005322 999,975616
1700,000 957,781921 986,250534 999,972903
1701,000 959,315114 986,495745 999,970191
1702,000 960,862205 986,711316 999,966895
1703,000 962,410347 986,924642 999,963556
1704,000 963,958489 987,137969 999,960216
1705,000 965,506632 987,351296 999,956876
1706,000 967,054774 987,564622 999,953536
1707,000 968,602917 987,777949 999,950196
1708,000 970,151059 987,991276 999,946857
1709,000 971,699202 988,204603 999,943517
