номер	X	Y	H
37-L1	898,035	974,152	1000,016
37-L2	918,715	978,11	1000
37-L3	939,947	981,875	999,982
37-L4	959,464	984,988	999,942
37-L5	978,101	987,556	999,899
37-L6	999,063	989,828	999,905
37-L7	1017,688	991,251	999,901
37-L8	1035,514	992,151	999,869
37-L9	1054,476	992,874	999,836
37-L10	1072,683	993,555	999,821
37-L11	1085,091	994,015	999,844
37-L12	1104,318	994,747	999,836
37-L13	1124,48	995,508	999,794
37-L14	1144,313	996,262	999,745
37-L15	1163,328	996,993	999,711
37-L16	1182,615	997,723	999,679
37-L17	1200,981	998,437	999,641
37-L18	1220,967	999,204	999,631
37-L19	1239,701	999,944	999,607
37-L20	1258,997	1000,676	999,533
37-L21	1278,438	1001,397	999,493
37-L22	1298,773	1002,166	999,479
37-L23	1319,624	1003,046	999,397
37-L24	1339,373	1003,828	999,311
37-L25	1359,781	1004,619	999,266
37-L26	1380,982	1005,442	999,261
37-L27	1400,432	1006,183	999,245
37-L28	1420,304	1006,946	999,244
37-L29	1440,333	1007,68	999,237
37-L30	1459,658	1008,24	999,24
37-L31	1479,61	1008,44	999,214
37-L32	1499,889	1008,024	999,172
37-L33	1519,544	1006,769	999,127
37-L34	1540,338	1004,311	999,067
37-L35	1564,75	999,914	999
37-L36	1586,638	994,874	998,945
37-L37	1608,084	989,609	998,874
37-L38	1629,466	984,341	998,865
37-L39	1650,844	979,075	998,838
37-L40	1671,54	973,964	998,873
37-L41	1691,533	969,026	998,922
37-L42	1712,404	963,888	999,014
37-L43	1734,129	958,499	999,165
37-L44	1759,867	952,126	999,188
37-L45	1780,351	947,114	999,196
37-L46	1801,717	941,462	999,195
			
37-R1	897,679	975,623	1000,063
37-R2	918,65	979,645	1000,024
37-R3	939,64	983,349	1000,005
37-R4	959,423	986,513	999,97
37-R5	977,965	989,068	999,93
37-R6	998,908	991,333	999,933
37-R7	1017,259	992,737	999,919
37-R8	1035,526	993,674	999,862
37-R9	1054,435	994,391	999,843
37-R10	1072,711	995,071	999,828
37-R11	1084,951	995,53	999,868
37-R12	1104,02	996,252	999,843
37-R13	1124,206	997,017	999,795
37-R14	1144,255	997,777	999,751
37-R15	1163,268	998,508	999,713
37-R16	1182,472	999,237	999,677
37-R17	1200,965	999,956	999,637
37-R18	1220,696	1000,734	999,599
37-R19	1239,621	1001,451	999,572
37-R20	1258,847	1002,186	999,526
37-R21	1278,486	1002,937	999,504
37-R22	1298,556	1003,68	999,478
37-R23	1319,617	1004,565	999,384
37-R24	1339,237	1005,332	999,308
37-R25	1359,747	1006,14	999,265
37-R26	1380,943	1006,96	999,266
37-R27	1400,355	1007,699	999,244
37-R28	1420,242	1008,46	999,25
37-R29	1440,159	1009,191	999,251
37-R30	1459,528	1009,755	999,253
37-R31	1479,643	1009,958	999,235
37-R32	1499,97	1009,543	999,194
37-R33	1519,74	1008,277	999,147
37-R34	1540,486	1005,828	999,093
37-R35	1565,051	1001,4	999,034
37-R36	1586,935	996,371	998,927
37-R37	1608,482	991,073	998,868
37-R38	1629,797	985,817	998,857
37-R39	1651,224	980,551	998,828
37-R40	1671,89	975,427	998,853
37-R41	1691,897	970,5	998,903
37-R42	1712,764	965,349	998,996
37-R43	1734,474	959,979	999,159
37-R44	1760,154	953,624	999,217
37-R45	1780,669	948,598	999,217
37-R46	1802,203	942,919	999,201
