№	Координата	Профиль правый	Ширина правой колеи	План правый	Уровень
1	 5010	49732.337309999995	1518	-	13
2	 5011	49732.337309999995	1518	-	13
3	 5012	49722.33684	1516	-	12
4	 5013	49722.33684	1516	-	10
5	 5014	49712.336370000005	1517	-	10
6	 5015	49712.336370000005	1517	-	12
7	 5016	49712.336370000005	1518	-	16
8	 5017	49712.336370000005	1518	-	18
9	 5018	49722.33684	1519	-	21
10	 5019	49722.33684	1518	-	20
11	 5020	49722.33684	1518	-	18
12	 5021	49722.33684	1518	-	18
13	 5022	49722.33684	1518	-	16
14	 5023	49722.33684	1518	-	14
15	 5024	49722.33684	1517	-	14
16	 5025	49722.33684	1517	-	14
17	 5026	49722.33684	1517	-	16
18	 5027	49722.33684	1517	-	21
19	 5028	49742.33778	1517	-	24
20	 5029	49742.33778	1517	-	26
21	 5030	49742.33778	1517	-	30
22	 5031	49742.33778	1517	-	32
23	 5032	49742.33778	1517	-	32
24	 5033	49742.33778	1517	-	30
25	 5034	49752.33825	1518	-	27
26	 5035	49752.33825	1517	-	0
27	 5036	49752.33825	1517	-	12
28	 5037	49752.33825	1517	-	10
29	 5038	49752.33825	1517	-	13
30	 5039	49752.33825	1518	-	15
31	 5040	49742.33778	1518	-	13
32	 5041	49732.337309999995	1518	-	13
33	 5042	49742.33778	1518	-	12
34	 5043	49742.33778	1518	-	13
35	 5044	49742.33778	1518	-	15
36	 5045	49742.33778	1518	-	18
37	 5046	49742.33778	1518	-	19
38	 5047	49742.33778	1518	-	18
39	 5048	49752.33825	1518	-	18
40	 5049	49752.33825	1518	-	16
41	 5050	49752.33825	1518	-	17
42	 5051	49762.33872	1518	-	15
43	 5052	49772.339190000006	1518	-	14
44	 5053	49782.339660000005	1518	-	14
45	 5054	49782.339660000005	1520	-	16
46	 5055	49792.34013	1520	-	17
47	 5056	49802.340599999996	1520	-	18
48	 5057	49812.34107	1520	-	19
49	 5058	49822.34154	1520	-	18
50	 5059	49832.34201	1516	-	0
51	 5060	49842.34248000001	1516	-	22
52	 5061	49852.342950000006	1516	-	23
53	 5062	49872.34389	1516	-	24
54	 5063	49892.34483	1516	-	25
55	 5064	49912.34577	1518	-	25
56	 5065	49922.346240000006	1518	-	25
57	 5066	49932.34671	1518	-	25
58	 5067	49942.34718	1518	-	26
59	 5068	49952.34765	1518	-	24
60	 5069	49952.34765	1518	-	22
61	 5070	49962.34812	1518	-	22
62	 5071	49972.34859	1518	-	21
63	 5072	49972.34859	1518	-	21
64	 5073	49972.34859	1518	-	0
65	 5074	49972.34859	1520	-	17
66	 5075	49972.34859	1520	-	17
67	 5076	49992.34953000001	1521	-	17
68	 5077	50002.35	1520	-	0
69	 5078	49992.34953000001	1519	-	22
70	 5079	49992.34953000001	1520	-	26
71	 5080	50002.35	1517	-	26
72	 5081	50012.35047	1517	-	23
73	 5082	50012.35047	1517	-	21
74	 5083	50022.350940000004	1517	-	19
75	 5084	50022.350940000004	1517	-	16
76	 5085	50022.350940000004	1517	-	14
77	 5086	50022.350940000004	1517	-	12
78	 5087	50032.35141	1517	-	11
79	 5088	50032.35141	1518	-	11
80	 5089	50032.35141	1520	-	13
81	 5090	50032.35141	1520	-	13
82	 5091	50032.35141	1520	-	12
83	 5092	50042.35188	1520	-	11
84	 5093	50052.35235	1520	-	9
85	 5094	50052.35235	1517	-	7
86	 5095	50052.35235	1517	-	4
87	 5096	50052.35235	1517	-	2
88	 5097	50052.35235	1517	-	-1
89	 5098	50062.35282	1516	-	-3
90	 5099	50062.35282	1515	-	-3
91	 5100	50062.35282	1515	-	-1
92	 5101	50062.35282	1515	-	-1
93	 5102	50072.35329	1515	-	-1
94	 5103	50072.35329	1515	-	1
95	 5104	50062.35282	1515	-	2
96	 5105	50062.35282	1515	-	2
97	 5106	50072.35329	1515	-	2
98	 5107	50072.35329	1515	-	3
99	 5108	50072.35329	1515	-	-1
100	 5109	50072.35329	1516	-	-5
101	 5110	50072.35329	1516	-	-8
102	 5111	50072.35329	1516	-	-10
103	 5112	50082.35376	1516	-	-9
104	 5113	50082.35376	1516	-	-7
105	 5114	50092.354230000004	1516	-	-4
106	 5115	50092.354230000004	1516	-	-5
107	 5116	50092.354230000004	1516	-	-6
108	 5117	50092.354230000004	1516	-	-9
109	 5118	50092.354230000004	1516	-	-9
110	 5119	50092.354230000004	1515	-	-10
111	 5120	50092.354230000004	1515	-	-11
112	 5121	50102.3547	1515	-	-11
113	 5122	50092.354230000004	1515	-	-12
114	 5123	50092.354230000004	1515	-	-14
115	 5124	50092.354230000004	1515	-	-15
116	 5125	50092.354230000004	1518	-	-15
117	 5126	50092.354230000004	1518	-	-16
118	 5127	50092.354230000004	1519	-	-19
119	 5128	50092.354230000004	1519	-	-23
120	 5129	50092.354230000004	1520	-	-26
121	 5130	50102.3547	1520	-	-26
122	 5131	50102.3547	1520	-	-24
123	 5132	50102.3547	1520	-	-23
124	 5133	50102.3547	1520	-	-20
125	 5134	50102.3547	1520	-	-16
126	 5135	50092.354230000004	1520	-	-11
127	 5136	50102.3547	1520	-	-7
128	 5137	50102.3547	1521	-	-6
129	 5138	50102.3547	1521	-	-8
130	 5139	50092.354230000004	1523	-	-11
131	 5140	50092.354230000004	1523	-	-13
132	 5141	50092.354230000004	1523	-	-14
133	 5142	50092.354230000004	1523	-	-16
134	 5143	50092.354230000004	1523	-	-22
135	 5144	50092.354230000004	1523	-	-24
136	 5145	50092.354230000004	1523	-	-25
137	 5146	50092.354230000004	1520	-	-26
138	 5147	50092.354230000004	1519	-	-25
139	 5148	50082.35376	1518	-	-24
140	 5149	50082.35376	1518	-	-24
141	 5150	50082.35376	1517	-	-24
142	 5151	50082.35376	1517	-	-23
143	 5152	50072.35329	1516	-	22
144	 5153	50062.35282	1515	-	21
145	 5154	50062.35282	1515	-	22
146	 5155	50052.35235	1516	-	24
147	 5156	50042.35188	1517	48441.55008	24
148	 5157	50052.35235	1520	48741.559680000006	25
149	 5158	50052.35235	1519	49031.568960000004	26
150	 5159	50052.35235	1516	49321.57824	26
151	 5160	50052.35235	1516	49631.58816	25
152	 5161	50052.35235	1516	49941.598079999996	23
153	 5162	50052.35235	1516	50241.60768	23
154	 5163	50052.35235	1516	50541.61728	23
155	 5164	50072.35329	1516	50861.62752	24
156	 5165	50062.35282	1516	51181.637760000005	24
157	 5166	50062.35282	1518	51441.64608	25
158	 5167	50062.35282	1518	51721.65504	26
159	 5168	50032.35141	1520	52021.66464	26
160	 5169	50032.35141	1523	52021.66464	26
161	 5170	50032.35141	1523	52321.67424	26
162	 5171	50032.35141	1527	52601.68320000001	27
163	 5172	50032.35141	1529	52881.692160000006	30
164	 5173	50022.350940000004	1530	53181.70176	30
165	 5174	50022.350940000004	1531	53501.712	30
166	 5175	50022.350940000004	1532	53791.72128	28
167	 5176	50022.350940000004	1533	54081.73056	28
168	 5177	50022.350940000004	1535	54381.74016	27
169	 5178	50022.350940000004	1536	54681.74976	26
